date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,9.26,2.36,1.62,0.004,cacica
2025-11-17,7.65,3.07,2.21,0.01,cacica
2025-11-18,7.33,2.16,1.6,0.01,cacica
2025-11-19,8.56,2.35,1.84,0.02,cacica
2025-11-20,8.14,2.61,2.14,0.014,cacica
2025-11-21,7.71,2.56,2.07,0.036,cacica
2025-11-22,6.66,2.41,1.78,0.016,cacica
2025-11-23,8.99,1.71,2.15,0.01,cacica
2025-11-24,8.76,2.53,1.88,0.013,cacica
2025-11-25,8.0,1.78,2.26,0.007,cacica
2025-11-26,8.86,2.63,1.61,0.015,cacica
2025-11-27,7.38,2.4,1.85,0.023,cacica
2025-11-28,7.36,2.88,2.02,0.024,cacica
2025-11-29,7.64,2.33,1.65,0.014,cacica
2025-11-30,7.73,2.42,1.91,0.017,cacica
2025-12-01,10.24,3.01,1.29,0.036,cacica
2025-12-02,9.18,2.07,1.95,0.007,cacica
2025-12-03,6.54,1.85,2.46,0.0,cacica
2025-12-04,8.84,3.23,2.53,0.026,cacica
2025-12-05,8.03,2.63,2.35,0.029,cacica
2025-12-06,8.2,2.92,2.45,0.005,cacica
2025-12-07,8.62,2.41,2.05,0.009,cacica
2025-12-08,8.76,2.29,1.98,0.001,cacica
2025-12-09,6.99,2.67,2.59,0.017,cacica
2025-12-10,9.93,3.09,1.8,0.013,cacica
2025-12-11,7.4,2.72,2.29,0.024,cacica
2025-12-12,7.02,3.12,1.89,0.002,cacica
2025-12-13,8.4,3.05,1.85,0.026,cacica
2025-12-14,8.58,2.1,1.96,0.0,cacica
2025-12-15,8.54,2.01,1.24,0.019,cacica
2025-12-16,6.68,2.73,2.14,0.003,cacica
2025-12-17,8.59,1.89,1.5,0.019,cacica
2025-12-18,9.19,2.41,1.63,0.03,cacica
2025-12-19,9.34,2.42,1.48,0.02,cacica
2025-12-20,8.41,2.79,1.74,0.033,cacica
2025-12-21,7.84,2.34,2.21,0.032,cacica
2025-12-22,7.9,2.18,2.03,0.03,cacica
2025-12-23,7.22,2.31,2.0,0.025,cacica
2025-12-24,8.79,2.56,1.72,0.009,cacica
2025-12-25,8.18,2.7,1.93,0.027,cacica
2025-12-26,8.52,2.17,1.49,0.051,cacica
2025-12-27,7.94,2.38,1.59,0.002,cacica
2025-12-28,5.92,2.95,2.01,0.0,cacica
2025-12-29,7.35,2.96,1.92,0.013,cacica
2025-12-30,8.37,2.36,2.23,0.03,cacica
2025-12-31,8.87,1.91,1.75,0.026,cacica
2026-01-01,9.64,2.3,1.78,0.023,cacica
2026-01-02,6.84,2.59,1.76,0.014,cacica
2026-01-03,8.16,2.42,2.38,0.012,cacica
2026-01-04,7.54,1.89,2.19,0.009,cacica
2026-01-05,7.94,2.65,1.9,0.027,cacica
2026-01-06,8.67,2.53,2.08,0.015,cacica
2026-01-07,6.84,2.28,2.55,0.036,cacica
2026-01-08,9.44,3.1,1.54,0.012,cacica
2026-01-09,9.42,1.75,2.03,0.019,cacica
2026-01-10,6.65,1.87,1.53,0.027,cacica
2026-01-11,9.19,2.16,1.98,0.016,cacica
2026-01-12,7.42,2.74,2.38,0.028,cacica
2026-01-13,6.91,2.85,2.15,0.03,cacica
2026-01-14,10.42,2.86,1.57,0.024,cacica
2026-01-15,9.4,2.63,2.17,0.036,cacica
2026-01-16,9.48,2.65,2.16,0.008,cacica
2026-01-17,8.07,2.35,1.78,0.008,cacica
2026-01-18,8.48,2.58,2.25,0.016,cacica
2026-01-19,6.83,2.44,2.14,0.017,cacica
2026-01-20,8.94,2.26,2.02,0.02,cacica
2026-01-21,8.84,2.36,2.39,0.025,cacica
2026-01-22,7.62,3.08,1.54,0.014,cacica
2026-01-23,9.81,3.06,2.25,0.02,cacica
2026-01-24,10.23,2.39,2.31,0.012,cacica
2026-01-25,7.63,2.32,2.27,0.0,cacica
2026-01-26,8.29,2.95,2.49,0.014,cacica
2026-01-27,8.59,2.19,2.27,0.019,cacica
2026-01-28,9.18,2.37,1.87,0.033,cacica
2026-01-29,6.65,2.8,1.97,0.005,cacica
2026-01-30,9.47,2.79,1.75,0.016,cacica
2026-01-31,8.76,2.39,1.98,0.032,cacica
2026-02-01,7.97,1.8,2.06,0.016,cacica
2026-02-02,6.74,2.3,2.06,0.017,cacica
2026-02-03,8.28,2.39,2.93,0.015,cacica
2026-02-04,10.36,2.55,2.25,0.022,cacica
2026-02-05,7.7,2.39,2.12,0.015,cacica
2026-02-06,6.59,2.04,2.14,0.003,cacica
2026-02-07,9.31,2.19,2.35,0.008,cacica
2026-02-08,8.3,2.07,2.14,0.028,cacica
2026-02-09,9.39,1.94,2.11,0.022,cacica
2026-02-10,7.2,2.57,2.14,0.021,cacica
2026-02-11,8.73,2.17,2.54,0.007,cacica
2026-02-12,7.38,2.12,2.08,0.015,cacica
2026-02-13,6.2,2.52,1.8,0.003,cacica
2026-02-14,7.75,2.52,2.29,0.025,cacica
2026-02-15,7.85,2.54,1.92,0.008,cacica
2026-02-16,9.8,2.31,2.16,0.006,cacica
2026-02-17,9.0,2.43,2.15,0.028,cacica
2026-02-18,7.84,2.79,1.75,0.013,cacica
2026-02-19,7.68,2.24,1.92,0.026,cacica
2026-02-20,8.82,3.08,1.38,0.009,cacica
2026-02-21,8.7,1.97,2.04,0.023,cacica
2026-02-22,7.49,2.61,2.14,0.011,cacica
2026-02-23,7.14,2.52,1.78,0.004,cacica
2026-02-24,7.07,2.39,1.95,0.011,cacica
2026-02-25,7.56,2.43,2.27,0.005,cacica
2026-02-26,6.58,2.02,1.71,0.021,cacica
2026-02-27,8.11,2.85,1.39,0.012,cacica
2026-02-28,7.98,2.42,2.4,0.011,cacica
2026-03-01,7.94,2.47,2.23,0.019,cacica
2026-03-02,6.37,2.81,1.66,0.014,cacica
2026-03-03,10.47,2.05,2.1,0.018,cacica
2026-03-04,7.33,2.72,1.98,0.011,cacica
2026-03-05,8.26,1.93,1.91,0.027,cacica
2026-03-06,7.18,2.02,1.89,0.021,cacica
2026-03-07,7.66,2.15,2.06,0.022,cacica
2026-03-08,9.08,2.55,2.22,0.022,cacica
2026-03-09,7.85,2.6,2.19,0.018,cacica
2026-03-10,9.56,2.98,1.99,0.03,cacica
2026-03-11,7.82,2.48,1.71,0.026,cacica
2026-03-12,7.77,1.57,2.2,0.022,cacica
2026-03-13,7.13,2.68,1.5,0.009,cacica
2026-03-14,8.28,3.1,1.36,0.026,cacica
2026-03-15,8.62,2.2,2.46,0.001,cacica
2026-03-16,8.21,2.78,1.93,0.009,cacica
2026-03-17,7.76,2.07,2.5,0.019,cacica
2026-03-18,8.02,2.84,2.27,0.029,cacica
2026-03-19,7.46,2.37,1.85,0.0,cacica
2026-03-20,7.57,2.24,2.26,0.025,cacica
2026-03-21,7.8,1.84,1.6,0.022,cacica
2026-03-22,7.58,2.65,2.07,0.006,cacica
2026-03-23,9.61,2.55,1.98,0.004,cacica
2026-03-24,7.96,1.9,1.7,0.035,cacica
2026-03-25,9.56,2.49,1.52,0.015,cacica
2026-03-26,8.15,2.68,1.77,0.037,cacica
2026-03-27,9.11,3.05,1.3,0.023,cacica
2026-03-28,9.38,2.12,1.74,0.007,cacica
2026-03-29,7.69,3.07,1.58,0.009,cacica
2026-03-30,7.63,2.51,1.65,0.02,cacica
2026-03-31,6.92,3.27,2.45,0.034,cacica
2026-04-01,9.62,2.03,1.84,0.025,cacica
2026-04-02,8.41,2.53,2.46,0.027,cacica
2026-04-03,7.2,2.73,1.43,0.025,cacica
2026-04-04,7.64,2.06,2.3,0.025,cacica
2026-04-05,7.62,2.36,2.54,0.023,cacica
2026-04-06,7.98,3.36,1.96,0.03,cacica
2026-04-07,8.44,2.68,1.92,0.044,cacica
2026-04-08,7.58,2.26,2.12,0.023,cacica
2026-04-09,7.67,2.14,1.9,0.013,cacica
2026-04-10,8.52,2.41,1.95,0.027,cacica
2026-04-11,7.98,2.53,2.42,0.033,cacica
2026-04-12,7.94,1.99,1.99,0.029,cacica
2026-04-13,6.46,2.2,1.95,0.028,cacica
2026-04-14,6.12,2.26,1.96,0.031,cacica
2026-04-15,7.27,2.51,2.02,0.018,cacica
2026-04-16,8.03,2.11,2.01,0.0,cacica
2026-04-17,7.15,2.75,2.04,0.017,cacica
2026-04-18,9.41,2.65,1.98,0.022,cacica
2026-04-19,7.97,2.47,2.7,0.018,cacica
2026-04-20,9.7,2.14,2.15,0.02,cacica
2026-04-21,9.05,2.03,2.34,0.048,cacica
2026-04-22,8.01,2.16,1.73,0.033,cacica
2026-04-23,8.12,2.32,2.17,0.039,cacica
2026-04-24,6.26,2.2,1.55,0.032,cacica
2026-04-25,8.4,2.58,2.35,0.025,cacica
2026-04-26,10.11,2.21,1.79,0.012,cacica
2026-04-27,8.05,2.53,2.27,0.006,cacica
2026-04-28,6.68,1.75,1.72,0.023,cacica
2026-04-29,7.91,2.28,1.97,0.028,cacica
2026-04-30,10.29,2.46,1.72,0.035,cacica
2026-05-01,6.78,2.51,1.98,0.016,cacica
2026-05-02,7.04,3.17,2.36,0.027,cacica
2026-05-03,7.81,1.9,2.02,0.03,cacica
2026-05-04,9.39,2.04,1.92,0.011,cacica
2026-05-05,7.95,2.18,2.08,0.013,cacica
2026-05-06,8.42,3.11,1.88,0.014,cacica
2026-05-07,7.61,3.35,2.0,0.025,cacica
2026-05-08,8.91,2.55,1.87,0.018,cacica
2026-05-09,8.93,2.57,1.81,0.018,cacica
2026-05-10,8.4,2.31,1.76,0.019,cacica
2026-05-11,8.8,2.41,1.79,0.01,cacica
2026-05-12,9.43,2.72,1.93,0.012,cacica
2026-05-13,9.13,2.12,2.33,0.0,cacica
2026-05-14,8.4,2.36,1.99,0.011,cacica
2026-05-15,8.31,2.65,2.03,0.023,cacica
