date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,1.9,207.0,-8.06,cacica
2025-11-17,0.2,179.0,-7.88,cacica
2025-11-18,4.5,222.0,-8.11,cacica
2025-11-19,1.6,214.0,-7.93,cacica
2025-11-20,0.0,196.0,-7.99,cacica
2025-11-21,0.0,184.0,-7.9,cacica
2025-11-22,0.7,181.0,-7.97,cacica
2025-11-23,3.8,200.0,-7.76,cacica
2025-11-24,0.0,189.0,-8.12,cacica
2025-11-25,0.0,181.0,-8.02,cacica
2025-11-26,0.0,174.0,-8.02,cacica
2025-11-27,22.7,305.0,-8.08,cacica
2025-11-28,1.1,281.0,-8.08,cacica
2025-11-29,2.4,270.0,-7.96,cacica
2025-11-30,8.2,294.0,-8.22,cacica
2025-12-01,4.6,294.0,-8.06,cacica
2025-12-02,0.3,269.0,-7.93,cacica
2025-12-03,0.0,246.0,-7.91,cacica
2025-12-04,0.0,228.0,-7.88,cacica
2025-12-05,1.3,222.0,-8.15,cacica
2025-12-06,0.1,209.0,-7.91,cacica
2025-12-07,0.0,198.0,-7.99,cacica
2025-12-08,0.0,188.0,-7.86,cacica
2025-12-09,0.0,181.0,-8.03,cacica
2025-12-10,0.0,176.0,-7.9,cacica
2025-12-11,0.2,172.0,-8.1,cacica
2025-12-12,1.2,169.0,-7.91,cacica
2025-12-13,0.0,165.0,-8.08,cacica
2025-12-14,0.0,162.0,-8.1,cacica
2025-12-15,0.0,157.0,-7.88,cacica
2025-12-16,0.0,155.0,-7.99,cacica
2025-12-17,0.0,154.0,-8.09,cacica
2025-12-18,0.9,158.0,-7.74,cacica
2025-12-19,0.0,157.0,-8.12,cacica
2025-12-20,0.0,155.0,-8.04,cacica
2025-12-21,4.4,179.0,-7.83,cacica
2025-12-22,0.5,177.0,-7.93,cacica
2025-12-23,2.5,186.0,-7.84,cacica
2025-12-24,8.1,226.0,-8.16,cacica
2025-12-25,0.0,212.0,-7.88,cacica
2025-12-26,0.2,202.0,-8.02,cacica
2025-12-27,0.0,192.0,-7.92,cacica
2025-12-28,3.8,206.0,-8.11,cacica
2025-12-29,1.0,202.0,-8.2,cacica
2025-12-30,1.1,199.0,-8.11,cacica
2025-12-31,1.9,201.0,-8.14,cacica
2026-01-01,0.0,192.0,-8.07,cacica
2026-01-02,0.0,184.0,-7.89,cacica
2026-01-03,0.2,179.0,-8.21,cacica
2026-01-04,1.1,180.0,-7.8,cacica
2026-01-05,1.5,182.0,-7.86,cacica
2026-01-06,2.9,192.0,-8.05,cacica
2026-01-07,2.2,197.0,-8.03,cacica
2026-01-08,7.8,231.0,-7.89,cacica
2026-01-09,0.0,216.0,-8.03,cacica
2026-01-10,0.2,205.0,-8.11,cacica
2026-01-11,0.0,195.0,-8.07,cacica
2026-01-12,0.5,189.0,-8.04,cacica
2026-01-13,0.4,184.0,-8.0,cacica
2026-01-14,0.0,177.0,-8.17,cacica
2026-01-15,0.7,176.0,-7.9,cacica
2026-01-16,0.1,172.0,-8.11,cacica
2026-01-17,0.0,168.0,-7.97,cacica
2026-01-18,0.0,164.0,-7.82,cacica
2026-01-19,0.0,162.0,-7.94,cacica
2026-01-20,0.0,159.0,-7.82,cacica
2026-01-21,0.0,157.0,-7.86,cacica
2026-01-22,0.4,157.0,-7.94,cacica
2026-01-23,2.4,167.0,-7.89,cacica
2026-01-24,1.4,172.0,-8.07,cacica
2026-01-25,0.0,168.0,-7.9,cacica
2026-01-26,4.5,191.0,-8.04,cacica
2026-01-27,7.3,225.0,-7.93,cacica
2026-01-28,0.2,212.0,-8.07,cacica
2026-01-29,7.0,241.0,-8.02,cacica
2026-01-30,1.3,232.0,-7.99,cacica
2026-01-31,1.7,227.0,-7.89,cacica
2026-02-01,0.1,213.0,-7.93,cacica
2026-02-02,0.2,203.0,-8.17,cacica
2026-02-03,0.2,195.0,-8.02,cacica
2026-02-04,0.8,191.0,-7.84,cacica
2026-02-05,0.9,189.0,-8.08,cacica
2026-02-06,2.7,197.0,-8.03,cacica
2026-02-07,0.7,192.0,-7.94,cacica
2026-02-08,2.2,196.0,-8.05,cacica
2026-02-09,2.7,203.0,-7.98,cacica
2026-02-10,0.0,193.0,-8.04,cacica
2026-02-11,0.0,183.0,-7.93,cacica
2026-02-12,0.0,177.0,-7.92,cacica
2026-02-13,0.0,170.0,-8.06,cacica
2026-02-14,0.1,166.0,-8.03,cacica
2026-02-15,3.1,181.0,-7.99,cacica
2026-02-16,0.5,178.0,-8.1,cacica
2026-02-17,3.7,194.0,-7.93,cacica
2026-02-18,7.1,227.0,-8.13,cacica
2026-02-19,1.4,221.0,-7.95,cacica
2026-02-20,0.4,210.0,-7.91,cacica
2026-02-21,0.7,202.0,-8.06,cacica
2026-02-22,0.2,194.0,-8.04,cacica
2026-02-23,10.4,245.0,-8.01,cacica
2026-02-24,5.5,258.0,-8.11,cacica
2026-02-25,4.6,265.0,-8.13,cacica
2026-02-26,0.8,249.0,-8.03,cacica
2026-02-27,0.0,231.0,-7.96,cacica
2026-02-28,0.0,216.0,-8.0,cacica
2026-03-01,0.0,204.0,-7.92,cacica
2026-03-02,0.0,193.0,-8.02,cacica
2026-03-03,0.0,185.0,-8.03,cacica
2026-03-04,0.0,178.0,-7.98,cacica
2026-03-05,0.0,171.0,-7.94,cacica
