date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,7.98,2.78,2.12,0.317,livezeni
2025-11-17,8.73,2.45,1.67,0.234,livezeni
2025-11-18,7.66,2.14,2.32,0.325,livezeni
2025-11-19,8.02,2.9,1.7,0.389,livezeni
2025-11-20,8.17,2.39,2.32,0.369,livezeni
2025-11-21,8.7,2.65,1.96,0.307,livezeni
2025-11-22,8.13,2.01,2.36,0.224,livezeni
2025-11-23,7.79,2.93,2.23,0.25,livezeni
2025-11-24,9.0,3.39,1.99,0.29,livezeni
2025-11-25,9.09,2.83,1.78,0.322,livezeni
2025-11-26,9.34,2.76,2.55,0.407,livezeni
2025-11-27,9.24,3.19,2.11,0.458,livezeni
2025-11-28,8.62,3.13,1.99,0.308,livezeni
2025-11-29,7.35,2.83,1.99,0.286,livezeni
2025-11-30,7.81,2.74,1.72,0.244,livezeni
2025-12-01,7.84,2.22,2.08,0.335,livezeni
2025-12-02,7.74,3.21,2.1,0.354,livezeni
2025-12-03,9.36,2.66,1.96,0.351,livezeni
2025-12-04,8.63,2.28,2.32,0.448,livezeni
2025-12-05,8.35,2.39,2.11,0.282,livezeni
2025-12-06,8.53,2.37,1.53,0.23,livezeni
2025-12-07,9.2,2.53,2.03,0.363,livezeni
2025-12-08,8.14,2.63,2.3,0.349,livezeni
2025-12-09,7.18,2.99,2.07,0.303,livezeni
2025-12-10,7.38,2.46,1.8,0.352,livezeni
2025-12-11,8.04,2.45,2.47,0.264,livezeni
2025-12-12,8.05,2.2,2.11,0.345,livezeni
2025-12-13,5.66,3.35,1.72,0.324,livezeni
2025-12-14,6.45,2.29,2.08,0.303,livezeni
2025-12-15,8.22,2.76,1.75,0.288,livezeni
2025-12-16,8.34,2.19,1.41,0.345,livezeni
2025-12-17,7.5,2.51,2.11,0.199,livezeni
2025-12-18,6.97,1.92,2.13,0.275,livezeni
2025-12-19,7.73,2.36,1.96,0.238,livezeni
2025-12-20,7.64,1.9,2.52,0.27,livezeni
2025-12-21,8.07,2.94,1.73,0.275,livezeni
2025-12-22,7.42,2.74,2.63,0.379,livezeni
2025-12-23,7.43,2.82,2.28,0.344,livezeni
2025-12-24,7.6,2.18,2.21,0.323,livezeni
