date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.0,150.0,-7.82,livezeni
2025-11-17,0.7,162.0,-8.03,livezeni
2025-11-18,9.8,275.0,-8.01,livezeni
2025-11-19,10.6,339.0,-8.17,livezeni
2025-11-20,1.6,298.0,-8.04,livezeni
2025-11-21,0.6,264.0,-8.13,livezeni
2025-11-22,7.8,293.0,-8.14,livezeni
2025-11-23,11.9,342.0,-8.03,livezeni
2025-11-24,0.4,303.0,-8.05,livezeni
2025-11-25,0.0,271.0,-8.05,livezeni
2025-11-26,3.0,264.0,-8.07,livezeni
2025-11-27,10.4,304.0,-8.02,livezeni
2025-11-28,4.8,302.0,-8.15,livezeni
2025-11-29,24.5,414.0,-8.24,livezeni
2025-11-30,10.8,426.0,-8.14,livezeni
2025-12-01,0.0,376.0,-8.17,livezeni
2025-12-02,0.0,335.0,-7.87,livezeni
2025-12-03,0.0,298.0,-7.83,livezeni
2025-12-04,0.0,268.0,-8.06,livezeni
2025-12-05,0.6,250.0,-8.1,livezeni
2025-12-06,1.8,242.0,-8.03,livezeni
2025-12-07,0.3,225.0,-7.9,livezeni
2025-12-08,0.0,208.0,-7.93,livezeni
2025-12-09,0.0,197.0,-7.96,livezeni
2025-12-10,0.0,189.0,-8.01,livezeni
2025-12-11,0.0,181.0,-7.82,livezeni
2025-12-12,0.0,172.0,-8.06,livezeni
2025-12-13,0.0,167.0,-8.0,livezeni
2025-12-14,0.0,157.0,-7.79,livezeni
2025-12-15,0.0,153.0,-7.7,livezeni
2025-12-16,0.0,152.0,-7.97,livezeni
2025-12-17,0.0,152.0,-7.9,livezeni
2025-12-18,0.0,151.0,-7.75,livezeni
2025-12-19,0.0,151.0,-7.93,livezeni
2025-12-20,0.0,151.0,-7.85,livezeni
2025-12-21,0.0,150.0,-8.24,livezeni
2025-12-22,0.0,150.0,-7.97,livezeni
2025-12-23,0.0,150.0,-8.05,livezeni
2025-12-24,3.6,171.0,-7.77,livezeni
2025-12-25,8.1,213.0,-8.12,livezeni
2025-12-26,0.0,202.0,-7.93,livezeni
2025-12-27,0.0,192.0,-7.97,livezeni
2025-12-28,3.2,203.0,-7.94,livezeni
2025-12-29,0.2,195.0,-7.96,livezeni
2025-12-30,5.8,220.0,-8.15,livezeni
2025-12-31,0.8,212.0,-8.0,livezeni
2026-01-01,0.9,206.0,-8.02,livezeni
2026-01-02,3.8,217.0,-7.98,livezeni
2026-01-03,12.0,274.0,-7.98,livezeni
2026-01-04,9.2,304.0,-7.9,livezeni
2026-01-05,14.4,358.0,-8.11,livezeni
2026-01-06,10.2,379.0,-8.06,livezeni
2026-01-07,18.0,441.0,-8.31,livezeni
2026-01-08,22.7,517.0,-8.18,livezeni
2026-01-09,0.7,452.0,-8.26,livezeni
2026-01-10,0.3,399.0,-8.04,livezeni
2026-01-11,2.4,368.0,-7.94,livezeni
2026-01-12,0.5,330.0,-8.04,livezeni
2026-01-13,6.1,332.0,-8.03,livezeni
2026-01-14,1.4,306.0,-8.1,livezeni
2026-01-15,0.5,280.0,-8.06,livezeni
2026-01-16,3.1,274.0,-7.92,livezeni
2026-01-17,0.0,250.0,-8.18,livezeni
2026-01-18,0.0,229.0,-8.03,livezeni
2026-01-19,0.0,212.0,-8.07,livezeni
2026-01-20,0.0,197.0,-8.11,livezeni
2026-01-21,0.0,185.0,-7.95,livezeni
2026-01-22,1.9,185.0,-7.97,livezeni
2026-01-23,0.0,172.0,-8.02,livezeni
2026-01-24,0.0,168.0,-7.77,livezeni
2026-01-25,0.3,166.0,-7.92,livezeni
2026-01-26,14.5,245.0,-8.04,livezeni
2026-01-27,15.2,315.0,-8.14,livezeni
2026-01-28,0.0,283.0,-8.15,livezeni
2026-01-29,0.8,263.0,-8.26,livezeni
2026-01-30,0.6,246.0,-8.19,livezeni
2026-01-31,1.3,235.0,-8.01,livezeni
2026-02-01,0.7,224.0,-8.02,livezeni
2026-02-02,4.8,238.0,-8.06,livezeni
2026-02-03,0.0,222.0,-7.8,livezeni
2026-02-04,0.5,212.0,-7.9,livezeni
2026-02-05,5.9,234.0,-7.98,livezeni
2026-02-06,0.0,219.0,-8.1,livezeni
2026-02-07,0.0,206.0,-8.17,livezeni
2026-02-08,0.8,201.0,-8.1,livezeni
2026-02-09,0.7,195.0,-7.96,livezeni
2026-02-10,3.6,204.0,-7.95,livezeni
2026-02-11,0.5,192.0,-7.94,livezeni
2026-02-12,0.0,185.0,-7.95,livezeni
2026-02-13,0.7,182.0,-7.97,livezeni
2026-02-14,0.0,176.0,-8.02,livezeni
2026-02-15,13.6,249.0,-8.21,livezeni
2026-02-16,1.1,237.0,-7.85,livezeni
2026-02-17,13.2,295.0,-8.05,livezeni
2026-02-18,5.0,298.0,-7.97,livezeni
2026-02-19,0.3,273.0,-8.1,livezeni
2026-02-20,6.0,283.0,-8.0,livezeni
2026-02-21,5.0,287.0,-7.91,livezeni
2026-02-22,0.6,266.0,-8.06,livezeni
2026-02-23,3.3,264.0,-7.98,livezeni
2026-02-24,10.0,300.0,-7.8,livezeni
2026-02-25,1.3,279.0,-7.98,livezeni
2026-02-26,0.4,258.0,-8.0,livezeni
2026-02-27,0.0,238.0,-7.92,livezeni
2026-02-28,0.0,222.0,-8.17,livezeni
2026-03-01,0.0,209.0,-8.05,livezeni
2026-03-02,0.0,195.0,-8.0,livezeni
2026-03-03,0.0,186.0,-8.02,livezeni
2026-03-04,0.0,176.0,-7.91,livezeni
2026-03-05,0.2,171.0,-8.06,livezeni
2026-03-06,0.0,167.0,-7.97,livezeni
2026-03-07,0.0,162.0,-8.02,livezeni
2026-03-08,1.8,169.0,-7.89,livezeni
2026-03-09,0.0,165.0,-7.98,livezeni
2026-03-10,0.0,162.0,-8.08,livezeni
2026-03-11,0.0,157.0,-7.89,livezeni
2026-03-12,0.0,155.0,-7.95,livezeni
2026-03-13,0.0,154.0,-8.05,livezeni
2026-03-14,0.0,153.0,-7.83,livezeni
2026-03-15,0.0,153.0,-8.0,livezeni
2026-03-16,0.0,152.0,-7.93,livezeni
2026-03-17,0.0,152.0,-7.85,livezeni
2026-03-18,0.1,152.0,-8.02,livezeni
2026-03-19,0.0,152.0,-7.94,livezeni
2026-03-20,0.0,151.0,-7.84,livezeni
2026-03-21,0.1,152.0,-7.96,livezeni
2026-03-22,0.9,157.0,-8.09,livezeni
2026-03-23,0.5,158.0,-7.76,livezeni
2026-03-24,0.8,161.0,-7.86,livezeni
2026-03-25,0.0,159.0,-7.69,livezeni
2026-03-26,0.0,157.0,-7.88,livezeni
2026-03-27,7.7,200.0,-8.13,livezeni
2026-03-28,16.3,284.0,-8.06,livezeni
2026-03-29,3.7,281.0,-8.27,livezeni
2026-03-30,3.0,274.0,-8.13,livezeni
2026-03-31,2.7,267.0,-8.16,livezeni
2026-04-01,0.8,251.0,-8.23,livezeni
2026-04-02,4.2,256.0,-8.14,livezeni
2026-04-03,4.6,263.0,-8.1,livezeni
2026-04-04,0.3,245.0,-7.84,livezeni
2026-04-05,0.0,227.0,-8.06,livezeni
2026-04-06,0.2,214.0,-7.96,livezeni
2026-04-07,0.0,202.0,-7.81,livezeni
2026-04-08,0.0,193.0,-7.83,livezeni
2026-04-09,2.2,198.0,-7.92,livezeni
2026-04-10,0.1,190.0,-7.88,livezeni
2026-04-11,0.0,180.0,-8.0,livezeni
2026-04-12,0.0,170.0,-7.88,livezeni
2026-04-13,0.0,165.0,-8.03,livezeni
2026-04-14,0.0,162.0,-8.01,livezeni
2026-04-15,0.0,159.0,-8.08,livezeni
2026-04-16,0.0,157.0,-7.94,livezeni
2026-04-17,0.8,159.0,-8.07,livezeni
2026-04-18,0.0,156.0,-7.89,livezeni
2026-04-19,0.0,155.0,-7.99,livezeni
2026-04-20,1.5,163.0,-8.03,livezeni
2026-04-21,0.8,165.0,-8.08,livezeni
2026-04-22,2.1,174.0,-8.12,livezeni
2026-04-23,0.0,170.0,-8.12,livezeni
2026-04-24,0.0,166.0,-7.76,livezeni
2026-04-25,0.0,163.0,-8.0,livezeni
2026-04-26,0.0,160.0,-7.89,livezeni
2026-04-27,0.0,159.0,-7.86,livezeni
2026-04-28,0.0,157.0,-7.94,livezeni
2026-04-29,0.0,156.0,-7.9,livezeni
2026-04-30,2.3,168.0,-8.03,livezeni
2026-05-01,0.0,165.0,-7.93,livezeni
2026-05-02,0.0,162.0,-7.94,livezeni
2026-05-03,0.1,160.0,-7.97,livezeni
2026-05-04,0.0,158.0,-7.96,livezeni
2026-05-05,0.0,156.0,-7.86,livezeni
