date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,8.76,2.27,1.97,0.265,lupeni
2025-11-17,7.4,3.11,1.66,0.309,lupeni
2025-11-18,8.57,2.57,1.95,0.19,lupeni
2025-11-19,7.64,2.26,1.85,0.36,lupeni
2025-11-20,9.45,2.77,2.4,0.22,lupeni
2025-11-21,8.14,2.93,2.39,0.384,lupeni
2025-11-22,6.31,2.84,1.88,0.298,lupeni
2025-11-23,8.72,2.67,2.0,0.295,lupeni
2025-11-24,7.56,2.06,2.18,0.205,lupeni
2025-11-25,8.83,2.89,1.06,0.334,lupeni
2025-11-26,8.71,2.74,2.06,0.219,lupeni
2025-11-27,7.72,2.74,2.17,0.271,lupeni
2025-11-28,8.9,1.98,2.33,0.325,lupeni
2025-11-29,8.18,2.68,1.93,0.4,lupeni
2025-11-30,9.0,2.02,1.6,0.24,lupeni
2025-12-01,8.43,2.56,1.46,0.433,lupeni
2025-12-02,6.35,3.14,1.92,0.312,lupeni
2025-12-03,8.19,2.14,1.41,0.388,lupeni
2025-12-04,7.71,2.73,2.02,0.22,lupeni
2025-12-05,7.87,2.54,2.09,0.407,lupeni
2025-12-06,8.71,2.39,2.64,0.226,lupeni
2025-12-07,7.38,2.7,2.03,0.238,lupeni
2025-12-08,9.95,2.04,1.72,0.274,lupeni
2025-12-09,6.41,2.93,2.13,0.271,lupeni
2025-12-10,6.34,2.49,1.77,0.153,lupeni
2025-12-11,8.1,2.43,1.85,0.144,lupeni
2025-12-12,9.9,2.56,1.79,0.154,lupeni
2025-12-13,8.41,2.43,2.35,0.166,lupeni
2025-12-14,7.74,2.77,1.82,0.355,lupeni
2025-12-15,8.49,2.45,2.43,0.347,lupeni
2025-12-16,8.38,2.45,1.85,0.263,lupeni
2025-12-17,8.33,2.5,1.94,0.235,lupeni
2025-12-18,8.47,3.19,2.16,0.379,lupeni
2025-12-19,9.02,2.43,1.8,0.278,lupeni
2025-12-20,8.69,1.88,1.81,0.388,lupeni
2025-12-21,8.14,2.43,1.92,0.212,lupeni
2025-12-22,7.63,1.9,1.81,0.218,lupeni
2025-12-23,8.96,2.77,2.09,0.42,lupeni
2025-12-24,7.56,1.96,2.02,0.37,lupeni
2025-12-25,9.0,1.84,2.13,0.35,lupeni
2025-12-26,6.33,2.6,2.28,0.34,lupeni
2025-12-27,9.06,3.29,1.84,0.33,lupeni
2025-12-28,8.72,2.24,1.92,0.219,lupeni
2025-12-29,7.71,2.34,1.85,0.275,lupeni
2025-12-30,8.45,2.17,2.67,0.364,lupeni
2025-12-31,8.49,3.05,2.11,0.248,lupeni
2026-01-01,6.41,1.85,2.0,0.403,lupeni
2026-01-02,9.9,2.81,2.32,0.176,lupeni
2026-01-03,9.61,1.95,1.79,0.139,lupeni
2026-01-04,9.35,2.64,2.12,0.269,lupeni
2026-01-05,8.44,2.09,1.92,0.22,lupeni
2026-01-06,7.82,3.07,1.92,0.167,lupeni
2026-01-07,8.28,2.63,2.31,0.308,lupeni
2026-01-08,9.05,3.07,2.33,0.329,lupeni
2026-01-09,9.81,2.51,1.77,0.284,lupeni
2026-01-10,8.1,2.34,2.02,0.347,lupeni
2026-01-11,9.8,2.63,1.58,0.292,lupeni
2026-01-12,7.53,1.89,2.21,0.182,lupeni
2026-01-13,9.0,2.43,1.97,0.284,lupeni
2026-01-14,7.98,2.88,2.54,0.192,lupeni
2026-01-15,7.95,2.27,2.18,0.442,lupeni
2026-01-16,8.08,2.37,2.01,0.283,lupeni
2026-01-17,7.57,2.92,2.49,0.394,lupeni
2026-01-18,9.83,1.89,2.29,0.387,lupeni
2026-01-19,7.98,2.58,1.58,0.344,lupeni
2026-01-20,7.23,1.73,1.69,0.171,lupeni
2026-01-21,7.79,2.47,1.63,0.212,lupeni
2026-01-22,7.02,2.1,1.83,0.362,lupeni
2026-01-23,8.84,2.74,1.87,0.283,lupeni
2026-01-24,7.66,2.86,1.94,0.197,lupeni
2026-01-25,7.33,3.1,2.09,0.252,lupeni
2026-01-26,8.89,2.23,1.4,0.356,lupeni
2026-01-27,9.25,2.74,1.73,0.28,lupeni
2026-01-28,7.69,2.62,1.97,0.305,lupeni
2026-01-29,8.71,1.83,2.39,0.3,lupeni
2026-01-30,7.09,2.21,1.78,0.33,lupeni
2026-01-31,8.2,2.53,1.93,0.344,lupeni
2026-02-01,8.66,2.22,1.79,0.23,lupeni
2026-02-02,10.83,2.17,1.58,0.431,lupeni
2026-02-03,8.15,2.7,2.28,0.539,lupeni
2026-02-04,7.76,2.5,1.79,0.321,lupeni
2026-02-05,10.26,2.89,2.57,0.427,lupeni
2026-02-06,8.25,2.71,2.19,0.324,lupeni
2026-02-07,10.14,2.59,2.04,0.4,lupeni
2026-02-08,8.34,2.38,1.67,0.205,lupeni
2026-02-09,8.42,2.52,2.41,0.31,lupeni
2026-02-10,7.28,2.38,2.0,0.395,lupeni
2026-02-11,7.71,2.15,2.49,0.375,lupeni
2026-02-12,8.89,2.45,1.9,0.281,lupeni
2026-02-13,8.12,2.03,2.29,0.197,lupeni
2026-02-14,7.08,2.76,2.32,0.449,lupeni
2026-02-15,6.22,2.76,1.68,0.324,lupeni
2026-02-16,8.51,2.12,1.71,0.254,lupeni
2026-02-17,8.24,2.16,1.8,0.286,lupeni
2026-02-18,7.82,3.03,1.92,0.343,lupeni
2026-02-19,9.0,3.03,1.42,0.233,lupeni
2026-02-20,6.78,2.41,1.59,0.404,lupeni
2026-02-21,8.51,2.31,1.87,0.239,lupeni
2026-02-22,6.46,2.04,2.01,0.329,lupeni
2026-02-23,8.69,3.17,1.88,0.28,lupeni
2026-02-24,6.52,1.67,1.65,0.317,lupeni
2026-02-25,8.17,2.7,2.02,0.414,lupeni
2026-02-26,7.77,2.58,1.69,0.364,lupeni
2026-02-27,6.96,2.86,2.02,0.305,lupeni
2026-02-28,8.41,2.34,2.12,0.164,lupeni
2026-03-01,8.65,2.46,2.41,0.18,lupeni
2026-03-02,9.61,2.58,1.74,0.316,lupeni
2026-03-03,6.63,3.41,1.99,0.378,lupeni
2026-03-04,6.67,1.87,1.87,0.203,lupeni
2026-03-05,8.36,2.26,2.04,0.163,lupeni
2026-03-06,9.8,2.48,2.08,0.297,lupeni
2026-03-07,8.7,3.43,2.03,0.352,lupeni
2026-03-08,8.95,2.16,1.91,0.298,lupeni
2026-03-09,6.87,1.97,2.12,0.198,lupeni
2026-03-10,7.17,2.68,1.75,0.257,lupeni
2026-03-11,6.85,2.41,2.41,0.373,lupeni
2026-03-12,7.7,2.99,1.05,0.412,lupeni
2026-03-13,8.91,2.66,2.29,0.219,lupeni
2026-03-14,9.32,2.34,1.94,0.114,lupeni
2026-03-15,9.19,2.22,1.7,0.326,lupeni
2026-03-16,7.22,1.83,1.68,0.238,lupeni
2026-03-17,8.12,2.2,1.91,0.346,lupeni
2026-03-18,7.54,2.79,2.06,0.193,lupeni
2026-03-19,8.21,2.41,1.38,0.492,lupeni
