date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-11-16,-0.142,margina_holdea_t1,-0.14
2025-11-17,-0.178,margina_holdea_t1,-0.32
2025-11-18,-0.052,margina_holdea_t1,-0.37
2025-11-19,-0.254,margina_holdea_t1,-0.63
2025-11-20,-0.193,margina_holdea_t1,-0.82
2025-11-21,-0.123,margina_holdea_t1,-0.94
2025-11-22,-0.065,margina_holdea_t1,-1.01
2025-11-23,-0.28,margina_holdea_t1,-1.29
2025-11-24,-0.089,margina_holdea_t1,-1.38
2025-11-25,-0.053,margina_holdea_t1,-1.43
2025-11-26,-0.183,margina_holdea_t1,-1.61
2025-11-27,-0.118,margina_holdea_t1,-1.73
2025-11-28,-0.175,margina_holdea_t1,-1.9
2025-11-29,-0.289,margina_holdea_t1,-2.19
2025-11-30,-0.258,margina_holdea_t1,-2.45
2025-12-01,-0.358,margina_holdea_t1,-2.81
2025-12-02,-0.133,margina_holdea_t1,-2.94
2025-12-03,-0.001,margina_holdea_t1,-2.94
2025-12-04,-0.191,margina_holdea_t1,-3.14
2025-12-05,-0.151,margina_holdea_t1,-3.29
2025-12-06,-0.115,margina_holdea_t1,-3.4
2025-12-07,-0.217,margina_holdea_t1,-3.62
2025-12-08,-0.219,margina_holdea_t1,-3.84
2025-12-09,-0.209,margina_holdea_t1,-4.05
2025-12-10,-0.237,margina_holdea_t1,-4.28
2025-12-11,-0.026,margina_holdea_t1,-4.31
2025-12-12,-0.22,margina_holdea_t1,-4.53
2025-12-13,-0.224,margina_holdea_t1,-4.75
2025-12-14,0.005,margina_holdea_t1,-4.75
2025-12-15,-0.224,margina_holdea_t1,-4.97
2025-12-16,-0.153,margina_holdea_t1,-5.12
2025-12-17,-0.052,margina_holdea_t1,-5.18
2025-12-18,-0.269,margina_holdea_t1,-5.45
2025-12-19,-0.119,margina_holdea_t1,-5.56
2025-12-20,-0.127,margina_holdea_t1,-5.69
2025-12-21,-0.313,margina_holdea_t1,-6.0
2025-12-22,-0.054,margina_holdea_t1,-6.06
2025-12-23,-0.208,margina_holdea_t1,-6.27
2025-12-24,-0.169,margina_holdea_t1,-6.44
2025-12-25,-0.083,margina_holdea_t1,-6.52
2025-12-26,-0.373,margina_holdea_t1,-6.89
2025-12-27,-0.196,margina_holdea_t1,-7.09
2025-12-28,-0.226,margina_holdea_t1,-7.31
2025-12-29,-0.203,margina_holdea_t1,-7.52
2025-12-30,-0.275,margina_holdea_t1,-7.79
2025-12-31,-0.175,margina_holdea_t1,-7.97
2026-01-01,-0.211,margina_holdea_t1,-8.18
2026-01-02,-0.154,margina_holdea_t1,-8.33
2026-01-03,-0.169,margina_holdea_t1,-8.5
2026-01-04,-0.211,margina_holdea_t1,-8.71
2026-01-05,-0.237,margina_holdea_t1,-8.95
2026-01-06,-0.171,margina_holdea_t1,-9.12
2026-01-07,-0.175,margina_holdea_t1,-9.3
2026-01-08,-0.208,margina_holdea_t1,-9.5
2026-01-09,-0.158,margina_holdea_t1,-9.66
2026-01-10,-0.301,margina_holdea_t1,-9.96
2026-01-11,-0.194,margina_holdea_t1,-10.16
2026-01-12,-0.059,margina_holdea_t1,-10.22
2026-01-13,-0.187,margina_holdea_t1,-10.4
2026-01-14,-0.303,margina_holdea_t1,-10.7
2026-01-15,-0.211,margina_holdea_t1,-10.92
2026-01-16,-0.019,margina_holdea_t1,-10.94
2026-01-17,-0.126,margina_holdea_t1,-11.06
2026-01-18,-0.194,margina_holdea_t1,-11.26
2026-01-19,-0.172,margina_holdea_t1,-11.43
2026-01-20,-0.23,margina_holdea_t1,-11.66
2026-01-21,-0.105,margina_holdea_t1,-11.76
2026-01-22,-0.292,margina_holdea_t1,-12.05
2026-01-23,-0.284,margina_holdea_t1,-12.34
