date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.0,150.0,-7.86,margina_holdea_t1
2025-11-17,1.0,166.0,-7.93,margina_holdea_t1
2025-11-18,7.6,251.0,-7.85,margina_holdea_t1
2025-11-19,3.0,248.0,-8.1,margina_holdea_t1
2025-11-20,1.8,235.0,-8.01,margina_holdea_t1
2025-11-21,0.7,219.0,-7.91,margina_holdea_t1
2025-11-22,13.0,296.0,-7.91,margina_holdea_t1
2025-11-23,2.7,281.0,-8.17,margina_holdea_t1
2025-11-24,0.1,253.0,-7.9,margina_holdea_t1
2025-11-25,0.2,233.0,-7.84,margina_holdea_t1
2025-11-26,2.6,232.0,-8.0,margina_holdea_t1
2025-11-27,5.2,247.0,-7.93,margina_holdea_t1
2025-11-28,6.2,264.0,-8.02,margina_holdea_t1
2025-11-29,10.7,304.0,-8.2,margina_holdea_t1
2025-11-30,6.9,314.0,-8.17,margina_holdea_t1
2025-12-01,0.0,284.0,-8.27,margina_holdea_t1
2025-12-02,0.0,260.0,-7.96,margina_holdea_t1
2025-12-03,0.1,238.0,-7.78,margina_holdea_t1
2025-12-04,0.0,221.0,-8.0,margina_holdea_t1
2025-12-05,12.4,279.0,-8.01,margina_holdea_t1
2025-12-06,0.0,255.0,-7.94,margina_holdea_t1
2025-12-07,2.6,247.0,-8.06,margina_holdea_t1
2025-12-08,0.0,229.0,-8.04,margina_holdea_t1
2025-12-09,0.0,215.0,-8.01,margina_holdea_t1
2025-12-10,0.0,203.0,-8.04,margina_holdea_t1
2025-12-11,0.0,193.0,-7.76,margina_holdea_t1
2025-12-12,0.0,183.0,-8.0,margina_holdea_t1
2025-12-13,0.0,176.0,-7.99,margina_holdea_t1
2025-12-14,0.0,168.0,-7.7,margina_holdea_t1
2025-12-15,0.0,163.0,-7.98,margina_holdea_t1
2025-12-16,0.0,160.0,-7.89,margina_holdea_t1
2025-12-17,0.0,158.0,-7.76,margina_holdea_t1
2025-12-18,0.0,157.0,-8.03,margina_holdea_t1
2025-12-19,0.0,156.0,-7.84,margina_holdea_t1
2025-12-20,0.1,152.0,-7.85,margina_holdea_t1
2025-12-21,0.0,151.0,-8.08,margina_holdea_t1
2025-12-22,0.0,150.0,-7.75,margina_holdea_t1
2025-12-23,0.0,150.0,-7.95,margina_holdea_t1
2025-12-24,2.0,162.0,-7.91,margina_holdea_t1
2025-12-25,0.6,163.0,-7.8,margina_holdea_t1
2025-12-26,0.0,161.0,-8.16,margina_holdea_t1
2025-12-27,0.0,159.0,-7.94,margina_holdea_t1
2025-12-28,1.0,163.0,-7.98,margina_holdea_t1
2025-12-29,0.0,161.0,-7.95,margina_holdea_t1
2025-12-30,1.8,169.0,-8.05,margina_holdea_t1
2025-12-31,1.9,176.0,-7.93,margina_holdea_t1
2026-01-01,1.5,180.0,-7.98,margina_holdea_t1
2026-01-02,6.6,212.0,-7.94,margina_holdea_t1
2026-01-03,23.4,335.0,-8.08,margina_holdea_t1
2026-01-04,10.2,360.0,-8.16,margina_holdea_t1
2026-01-05,11.7,389.0,-8.22,margina_holdea_t1
2026-01-06,5.8,379.0,-8.13,margina_holdea_t1
2026-01-07,12.6,409.0,-8.17,margina_holdea_t1
2026-01-08,10.4,421.0,-8.22,margina_holdea_t1
2026-01-09,1.0,378.0,-8.11,margina_holdea_t1
2026-01-10,3.4,356.0,-8.27,margina_holdea_t1
2026-01-11,1.3,326.0,-8.11,margina_holdea_t1
2026-01-12,0.0,294.0,-7.91,margina_holdea_t1
2026-01-13,8.8,318.0,-8.09,margina_holdea_t1
2026-01-14,1.7,297.0,-8.21,margina_holdea_t1
2026-01-15,0.3,271.0,-8.07,margina_holdea_t1
2026-01-16,1.8,259.0,-7.82,margina_holdea_t1
2026-01-17,0.0,238.0,-7.93,margina_holdea_t1
2026-01-18,0.0,215.0,-8.0,margina_holdea_t1
2026-01-19,0.0,200.0,-7.95,margina_holdea_t1
2026-01-20,0.0,188.0,-8.01,margina_holdea_t1
2026-01-21,0.0,179.0,-7.85,margina_holdea_t1
2026-01-22,0.6,174.0,-8.08,margina_holdea_t1
2026-01-23,0.0,167.0,-8.06,margina_holdea_t1
2026-01-24,0.0,163.0,-7.99,margina_holdea_t1
2026-01-25,0.1,160.0,-8.03,margina_holdea_t1
2026-01-26,11.4,223.0,-7.98,margina_holdea_t1
