date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,8.04,1.99,1.7,0.031,margina_holdea_t2
2025-11-17,7.49,2.28,1.4,0.008,margina_holdea_t2
2025-11-18,9.06,2.18,1.24,0.024,margina_holdea_t2
2025-11-19,9.07,2.72,1.76,0.001,margina_holdea_t2
2025-11-20,8.84,3.06,2.35,0.025,margina_holdea_t2
2025-11-21,8.65,2.26,2.35,0.022,margina_holdea_t2
2025-11-22,10.77,2.78,2.31,0.019,margina_holdea_t2
2025-11-23,7.94,2.88,2.39,0.004,margina_holdea_t2
2025-11-24,9.07,2.48,1.68,0.022,margina_holdea_t2
2025-11-25,9.9,2.86,2.29,0.023,margina_holdea_t2
2025-11-26,7.98,1.76,2.07,0.031,margina_holdea_t2
2025-11-27,10.26,2.47,1.74,0.023,margina_holdea_t2
2025-11-28,8.05,2.91,2.18,0.011,margina_holdea_t2
2025-11-29,7.88,3.28,2.1,0.027,margina_holdea_t2
2025-11-30,8.6,2.16,2.39,0.005,margina_holdea_t2
2025-12-01,8.89,2.51,2.11,0.022,margina_holdea_t2
2025-12-02,8.4,3.08,1.93,0.027,margina_holdea_t2
2025-12-03,9.89,2.48,2.17,0.005,margina_holdea_t2
2025-12-04,7.8,2.19,1.97,0.008,margina_holdea_t2
2025-12-05,8.7,1.85,2.28,0.041,margina_holdea_t2
2025-12-06,8.23,2.45,2.41,0.015,margina_holdea_t2
2025-12-07,8.28,2.41,2.02,0.022,margina_holdea_t2
2025-12-08,7.91,2.85,1.94,0.016,margina_holdea_t2
2025-12-09,8.96,2.09,1.81,0.039,margina_holdea_t2
2025-12-10,8.33,2.65,2.12,0.022,margina_holdea_t2
2025-12-11,9.44,2.43,2.35,0.027,margina_holdea_t2
2025-12-12,8.18,3.14,1.7,0.015,margina_holdea_t2
2025-12-13,6.81,2.93,1.8,0.039,margina_holdea_t2
2025-12-14,10.33,2.28,1.75,0.018,margina_holdea_t2
2025-12-15,9.16,2.61,2.28,0.044,margina_holdea_t2
2025-12-16,7.42,2.76,1.87,0.007,margina_holdea_t2
2025-12-17,9.09,2.47,1.95,0.024,margina_holdea_t2
2025-12-18,7.7,2.94,1.97,0.014,margina_holdea_t2
2025-12-19,7.79,2.09,2.3,0.0,margina_holdea_t2
2025-12-20,9.16,2.83,2.19,0.026,margina_holdea_t2
2025-12-21,10.12,2.31,2.61,0.032,margina_holdea_t2
2025-12-22,7.84,3.34,1.94,0.026,margina_holdea_t2
2025-12-23,7.4,2.65,1.81,0.018,margina_holdea_t2
2025-12-24,7.5,2.83,2.13,0.023,margina_holdea_t2
2025-12-25,6.27,2.08,1.84,0.032,margina_holdea_t2
2025-12-26,8.43,2.64,2.26,0.016,margina_holdea_t2
2025-12-27,8.13,2.77,1.82,0.04,margina_holdea_t2
2025-12-28,7.74,2.33,2.09,0.016,margina_holdea_t2
2025-12-29,8.68,2.4,2.34,0.027,margina_holdea_t2
2025-12-30,9.11,2.9,2.16,0.0,margina_holdea_t2
2025-12-31,9.48,2.41,2.23,0.023,margina_holdea_t2
2026-01-01,7.23,2.53,2.13,0.027,margina_holdea_t2
2026-01-02,8.37,2.01,1.98,0.018,margina_holdea_t2
2026-01-03,8.97,2.25,1.84,0.019,margina_holdea_t2
2026-01-04,6.95,2.84,1.86,0.021,margina_holdea_t2
2026-01-05,9.61,3.24,2.18,0.027,margina_holdea_t2
