date,water_inflow_l_per_min,site_id
2025-11-16,11.1,margina_holdea_t2
2025-11-17,12.4,margina_holdea_t2
2025-11-18,13.1,margina_holdea_t2
2025-11-19,13.4,margina_holdea_t2
2025-11-20,14.1,margina_holdea_t2
2025-11-21,13.6,margina_holdea_t2
2025-11-22,13.0,margina_holdea_t2
2025-11-23,14.9,margina_holdea_t2
2025-11-24,12.4,margina_holdea_t2
2025-11-25,14.2,margina_holdea_t2
2025-11-26,14.3,margina_holdea_t2
2025-11-27,13.0,margina_holdea_t2
2025-11-28,12.6,margina_holdea_t2
2025-11-29,14.6,margina_holdea_t2
2025-11-30,16.0,margina_holdea_t2
2025-12-01,14.7,margina_holdea_t2
2025-12-02,15.3,margina_holdea_t2
2025-12-03,13.0,margina_holdea_t2
2025-12-04,13.7,margina_holdea_t2
2025-12-05,15.3,margina_holdea_t2
2025-12-06,14.9,margina_holdea_t2
2025-12-07,13.2,margina_holdea_t2
2025-12-08,14.5,margina_holdea_t2
2025-12-09,12.5,margina_holdea_t2
2025-12-10,11.7,margina_holdea_t2
2025-12-11,13.1,margina_holdea_t2
2025-12-12,12.4,margina_holdea_t2
2025-12-13,11.4,margina_holdea_t2
2025-12-14,12.3,margina_holdea_t2
2025-12-15,12.4,margina_holdea_t2
2025-12-16,11.9,margina_holdea_t2
2025-12-17,11.1,margina_holdea_t2
2025-12-18,11.5,margina_holdea_t2
2025-12-19,12.5,margina_holdea_t2
2025-12-20,12.5,margina_holdea_t2
2025-12-21,12.1,margina_holdea_t2
2025-12-22,12.2,margina_holdea_t2
2025-12-23,12.6,margina_holdea_t2
2025-12-24,12.3,margina_holdea_t2
2025-12-25,10.6,margina_holdea_t2
2025-12-26,12.4,margina_holdea_t2
2025-12-27,11.8,margina_holdea_t2
2025-12-28,11.4,margina_holdea_t2
2025-12-29,11.3,margina_holdea_t2
2025-12-30,11.7,margina_holdea_t2
2025-12-31,13.4,margina_holdea_t2
2026-01-01,14.0,margina_holdea_t2
2026-01-02,12.3,margina_holdea_t2
2026-01-03,16.1,margina_holdea_t2
2026-01-04,16.3,margina_holdea_t2
2026-01-05,16.6,margina_holdea_t2
2026-01-06,14.8,margina_holdea_t2
2026-01-07,16.6,margina_holdea_t2
2026-01-08,15.9,margina_holdea_t2
2026-01-09,15.8,margina_holdea_t2
2026-01-10,14.6,margina_holdea_t2
2026-01-11,15.8,margina_holdea_t2
2026-01-12,14.2,margina_holdea_t2
2026-01-13,13.4,margina_holdea_t2
2026-01-14,14.4,margina_holdea_t2
2026-01-15,13.5,margina_holdea_t2
2026-01-16,12.8,margina_holdea_t2
2026-01-17,14.6,margina_holdea_t2
2026-01-18,14.5,margina_holdea_t2
2026-01-19,10.8,margina_holdea_t2
2026-01-20,11.7,margina_holdea_t2
2026-01-21,12.6,margina_holdea_t2
2026-01-22,12.2,margina_holdea_t2
2026-01-23,11.6,margina_holdea_t2
2026-01-24,11.2,margina_holdea_t2
2026-01-25,12.8,margina_holdea_t2
2026-01-26,13.0,margina_holdea_t2
2026-01-27,15.0,margina_holdea_t2
2026-01-28,13.7,margina_holdea_t2
2026-01-29,14.7,margina_holdea_t2
2026-01-30,15.2,margina_holdea_t2
2026-01-31,12.2,margina_holdea_t2
2026-02-01,13.2,margina_holdea_t2
2026-02-02,12.6,margina_holdea_t2
2026-02-03,14.8,margina_holdea_t2
2026-02-04,12.2,margina_holdea_t2
2026-02-05,12.7,margina_holdea_t2
2026-02-06,12.6,margina_holdea_t2
2026-02-07,13.0,margina_holdea_t2
2026-02-08,13.3,margina_holdea_t2
2026-02-09,10.6,margina_holdea_t2
2026-02-10,12.9,margina_holdea_t2
2026-02-11,14.0,margina_holdea_t2
2026-02-12,10.9,margina_holdea_t2
2026-02-13,10.8,margina_holdea_t2
2026-02-14,12.3,margina_holdea_t2
2026-02-15,12.0,margina_holdea_t2
2026-02-16,12.8,margina_holdea_t2
2026-02-17,14.2,margina_holdea_t2
2026-02-18,14.0,margina_holdea_t2
2026-02-19,13.5,margina_holdea_t2
2026-02-20,10.7,margina_holdea_t2
2026-02-21,13.7,margina_holdea_t2
2026-02-22,13.6,margina_holdea_t2
2026-02-23,15.7,margina_holdea_t2
2026-02-24,14.1,margina_holdea_t2
2026-02-25,16.1,margina_holdea_t2
2026-02-26,12.8,margina_holdea_t2
2026-02-27,13.2,margina_holdea_t2
2026-02-28,13.4,margina_holdea_t2
2026-03-01,14.2,margina_holdea_t2
2026-03-02,12.8,margina_holdea_t2
2026-03-03,10.6,margina_holdea_t2
2026-03-04,10.5,margina_holdea_t2
2026-03-05,13.1,margina_holdea_t2
2026-03-06,12.6,margina_holdea_t2
2026-03-07,12.5,margina_holdea_t2
2026-03-08,11.7,margina_holdea_t2
2026-03-09,10.9,margina_holdea_t2
2026-03-10,11.1,margina_holdea_t2
2026-03-11,10.9,margina_holdea_t2
2026-03-12,11.8,margina_holdea_t2
2026-03-13,12.6,margina_holdea_t2
2026-03-14,13.6,margina_holdea_t2
2026-03-15,11.7,margina_holdea_t2
2026-03-16,11.3,margina_holdea_t2
2026-03-17,12.5,margina_holdea_t2
2026-03-18,11.6,margina_holdea_t2
2026-03-19,10.6,margina_holdea_t2
2026-03-20,13.5,margina_holdea_t2
2026-03-21,10.5,margina_holdea_t2
2026-03-22,12.3,margina_holdea_t2
2026-03-23,12.3,margina_holdea_t2
2026-03-24,11.2,margina_holdea_t2
2026-03-25,13.5,margina_holdea_t2
2026-03-26,10.9,margina_holdea_t2
2026-03-27,13.1,margina_holdea_t2
2026-03-28,13.9,margina_holdea_t2
2026-03-29,12.6,margina_holdea_t2
2026-03-30,12.1,margina_holdea_t2
2026-03-31,11.9,margina_holdea_t2
2026-04-01,10.6,margina_holdea_t2
2026-04-02,12.7,margina_holdea_t2
2026-04-03,13.5,margina_holdea_t2
2026-04-04,13.1,margina_holdea_t2
2026-04-05,14.0,margina_holdea_t2
2026-04-06,13.5,margina_holdea_t2
2026-04-07,11.2,margina_holdea_t2
2026-04-08,13.0,margina_holdea_t2
2026-04-09,12.9,margina_holdea_t2
2026-04-10,12.3,margina_holdea_t2
2026-04-11,10.5,margina_holdea_t2
2026-04-12,12.0,margina_holdea_t2
2026-04-13,10.5,margina_holdea_t2
2026-04-14,12.1,margina_holdea_t2
2026-04-15,13.0,margina_holdea_t2
2026-04-16,11.6,margina_holdea_t2
2026-04-17,10.9,margina_holdea_t2
2026-04-18,15.7,margina_holdea_t2
2026-04-19,15.1,margina_holdea_t2
2026-04-20,17.0,margina_holdea_t2
2026-04-21,16.2,margina_holdea_t2
2026-04-22,18.7,margina_holdea_t2
2026-04-23,19.6,margina_holdea_t2
2026-04-24,18.9,margina_holdea_t2
2026-04-25,17.5,margina_holdea_t2
2026-04-26,19.7,margina_holdea_t2
2026-04-27,20.2,margina_holdea_t2
