date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,0.24,0.24,0.98,0.014,meses_a3
2025-11-17,0.0,0.73,0.2,0.037,meses_a3
2025-11-18,0.0,0.55,0.55,0.043,meses_a3
2025-11-19,0.3,0.0,0.33,0.011,meses_a3
2025-11-20,1.07,0.48,0.01,0.027,meses_a3
2025-11-21,0.72,0.92,0.07,0.049,meses_a3
2025-11-22,1.01,0.26,0.0,0.004,meses_a3
2025-11-23,0.0,0.44,0.7,0.0,meses_a3
2025-11-24,1.97,0.3,0.41,0.003,meses_a3
2025-11-25,0.19,0.79,0.12,0.025,meses_a3
2025-11-26,1.74,0.36,0.4,0.006,meses_a3
2025-11-27,0.46,0.5,0.65,0.013,meses_a3
2025-11-28,0.41,0.14,0.74,0.017,meses_a3
2025-11-29,0.03,0.2,0.58,0.009,meses_a3
2025-11-30,3.02,0.22,0.28,0.028,meses_a3
2025-12-01,1.75,0.0,0.5,0.023,meses_a3
2025-12-02,2.13,0.15,0.84,0.027,meses_a3
2025-12-03,0.0,0.2,0.42,0.031,meses_a3
2025-12-04,0.98,0.03,0.64,0.035,meses_a3
2025-12-05,0.49,0.0,0.6,0.014,meses_a3
2025-12-06,1.67,0.21,0.24,0.036,meses_a3
2025-12-07,0.55,0.44,0.58,0.017,meses_a3
2025-12-08,0.26,0.03,0.06,0.018,meses_a3
2025-12-09,1.16,0.18,0.02,0.021,meses_a3
2025-12-10,0.83,0.76,0.64,0.021,meses_a3
2025-12-11,1.6,0.14,0.28,0.041,meses_a3
2025-12-12,0.29,0.31,0.78,0.035,meses_a3
2025-12-13,1.28,0.53,0.73,0.007,meses_a3
2025-12-14,0.52,0.0,0.4,0.031,meses_a3
2025-12-15,0.99,0.6,0.46,0.018,meses_a3
2025-12-16,0.43,0.51,0.05,0.011,meses_a3
2025-12-17,1.02,0.0,0.32,0.003,meses_a3
2025-12-18,1.14,0.34,0.61,0.023,meses_a3
2025-12-19,0.72,0.24,0.28,0.021,meses_a3
2025-12-20,2.37,0.92,0.08,0.03,meses_a3
2025-12-21,0.0,0.12,0.3,0.03,meses_a3
2025-12-22,0.41,0.0,0.25,0.031,meses_a3
2025-12-23,0.23,0.68,0.0,0.027,meses_a3
2025-12-24,1.95,0.0,0.48,0.02,meses_a3
2025-12-25,1.66,0.0,0.45,0.019,meses_a3
2025-12-26,0.94,0.23,0.39,0.02,meses_a3
2025-12-27,0.13,0.5,0.73,0.001,meses_a3
2025-12-28,0.71,0.54,0.27,0.023,meses_a3
2025-12-29,0.85,0.06,0.14,0.034,meses_a3
2025-12-30,0.78,0.15,0.37,0.028,meses_a3
2025-12-31,2.29,0.48,0.37,0.013,meses_a3
2026-01-01,0.34,0.32,0.14,0.011,meses_a3
2026-01-02,0.08,0.2,0.0,0.031,meses_a3
2026-01-03,1.54,0.84,0.79,0.028,meses_a3
2026-01-04,1.04,0.0,0.14,0.0,meses_a3
2026-01-05,0.37,0.22,0.6,0.023,meses_a3
2026-01-06,0.95,0.08,0.15,0.02,meses_a3
2026-01-07,0.83,0.79,0.0,0.009,meses_a3
2026-01-08,1.51,0.62,0.56,0.014,meses_a3
2026-01-09,1.05,1.13,0.28,0.028,meses_a3
2026-01-10,1.24,0.53,0.21,0.007,meses_a3
2026-01-11,1.32,0.67,0.1,0.014,meses_a3
2026-01-12,0.85,0.0,0.56,0.026,meses_a3
2026-01-13,0.0,0.0,0.73,0.017,meses_a3
2026-01-14,0.13,0.54,0.16,0.036,meses_a3
2026-01-15,1.09,0.08,0.25,0.025,meses_a3
2026-01-16,0.61,0.88,0.03,0.031,meses_a3
2026-01-17,1.98,0.68,0.38,0.011,meses_a3
2026-01-18,0.56,0.39,0.44,0.024,meses_a3
2026-01-19,0.49,0.15,0.51,0.036,meses_a3
2026-01-20,1.5,0.28,0.53,0.028,meses_a3
2026-01-21,0.58,0.0,0.75,0.031,meses_a3
2026-01-22,0.34,0.0,0.08,0.036,meses_a3
2026-01-23,0.55,0.51,0.0,0.004,meses_a3
2026-01-24,1.78,0.19,0.39,0.017,meses_a3
2026-01-25,0.2,0.48,0.27,0.022,meses_a3
2026-01-26,0.76,0.0,0.26,0.026,meses_a3
2026-01-27,0.0,0.56,0.3,0.03,meses_a3
2026-01-28,1.71,0.0,0.56,0.017,meses_a3
2026-01-29,1.04,0.77,0.22,0.015,meses_a3
2026-01-30,0.0,1.11,0.12,0.017,meses_a3
2026-01-31,0.95,0.55,0.45,0.011,meses_a3
2026-02-01,0.0,0.51,0.61,0.031,meses_a3
2026-02-02,1.45,0.46,0.37,0.024,meses_a3
2026-02-03,2.65,0.51,0.49,0.007,meses_a3
2026-02-04,1.49,0.0,0.43,0.02,meses_a3
2026-02-05,2.51,0.27,0.19,0.019,meses_a3
2026-02-06,0.0,0.52,0.11,0.021,meses_a3
2026-02-07,0.9,0.5,0.26,0.026,meses_a3
2026-02-08,0.75,0.28,0.36,0.028,meses_a3
2026-02-09,0.0,0.56,0.96,0.019,meses_a3
2026-02-10,0.0,0.38,0.0,0.021,meses_a3
2026-02-11,0.0,0.0,0.2,0.021,meses_a3
2026-02-12,1.58,1.25,0.63,0.018,meses_a3
2026-02-13,1.29,0.68,0.62,0.013,meses_a3
2026-02-14,0.18,0.32,0.63,0.011,meses_a3
2026-02-15,0.82,0.11,0.54,0.024,meses_a3
2026-02-16,1.18,0.48,0.33,0.019,meses_a3
2026-02-17,1.06,0.0,0.17,0.009,meses_a3
2026-02-18,1.34,0.02,0.05,0.025,meses_a3
2026-02-19,1.85,1.39,1.08,0.025,meses_a3
2026-02-20,0.06,0.46,0.23,0.032,meses_a3
2026-02-21,0.29,0.39,0.0,0.013,meses_a3
2026-02-22,0.57,0.0,0.14,0.02,meses_a3
2026-02-23,1.49,0.26,0.4,0.006,meses_a3
2026-02-24,0.0,0.55,0.78,0.0,meses_a3
2026-02-25,2.01,0.04,0.5,0.035,meses_a3
2026-02-26,1.22,0.9,0.0,0.014,meses_a3
2026-02-27,1.24,0.0,0.38,0.022,meses_a3
2026-02-28,1.23,0.45,0.36,0.015,meses_a3
2026-03-01,0.28,0.79,0.35,0.017,meses_a3
2026-03-02,1.18,0.02,0.77,0.004,meses_a3
2026-03-03,0.0,0.02,0.47,0.027,meses_a3
2026-03-04,0.96,0.42,0.45,0.023,meses_a3
2026-03-05,0.21,0.18,0.0,0.025,meses_a3
2026-03-06,0.03,0.71,0.45,0.028,meses_a3
2026-03-07,0.08,0.31,0.04,0.022,meses_a3
2026-03-08,0.67,0.3,0.27,0.016,meses_a3
2026-03-09,0.52,0.0,0.5,0.029,meses_a3
2026-03-10,1.67,0.0,0.97,0.012,meses_a3
2026-03-11,0.0,0.92,0.18,0.022,meses_a3
2026-03-12,0.0,0.43,0.12,0.007,meses_a3
2026-03-13,0.53,1.28,0.49,0.024,meses_a3
2026-03-14,1.43,0.43,0.0,0.021,meses_a3
2026-03-15,0.0,0.71,0.48,0.028,meses_a3
2026-03-16,0.0,0.59,0.46,0.026,meses_a3
2026-03-17,1.25,0.64,0.21,0.015,meses_a3
2026-03-18,0.25,0.0,0.44,0.018,meses_a3
2026-03-19,0.76,0.0,0.48,0.013,meses_a3
2026-03-20,0.62,1.26,0.55,0.051,meses_a3
2026-03-21,0.0,0.0,0.37,0.017,meses_a3
2026-03-22,1.16,0.0,0.54,0.015,meses_a3
2026-03-23,3.32,0.71,0.48,0.02,meses_a3
2026-03-24,0.0,1.13,0.54,0.019,meses_a3
2026-03-25,2.81,0.57,0.33,0.017,meses_a3
2026-03-26,1.24,0.42,0.05,0.005,meses_a3
2026-03-27,0.95,0.0,0.14,0.024,meses_a3
2026-03-28,2.1,0.89,0.16,0.046,meses_a3
2026-03-29,1.87,0.23,0.1,0.02,meses_a3
2026-03-30,0.0,0.41,0.75,0.034,meses_a3
2026-03-31,2.23,0.05,0.88,0.003,meses_a3
2026-04-01,0.0,0.23,0.59,0.0,meses_a3
2026-04-02,0.0,0.08,0.47,0.04,meses_a3
2026-04-03,0.0,0.86,0.34,0.003,meses_a3
2026-04-04,0.0,0.55,0.0,0.024,meses_a3
2026-04-05,1.4,0.37,0.0,0.016,meses_a3
2026-04-06,2.35,0.0,0.17,0.022,meses_a3
2026-04-07,0.0,0.03,0.41,0.016,meses_a3
2026-04-08,0.08,0.0,0.15,0.025,meses_a3
2026-04-09,1.26,0.18,0.44,0.013,meses_a3
2026-04-10,0.77,0.41,0.94,0.029,meses_a3
2026-04-11,0.55,0.6,0.29,0.023,meses_a3
2026-04-12,0.71,0.77,0.0,0.034,meses_a3
2026-04-13,2.59,0.03,0.14,0.022,meses_a3
2026-04-14,0.94,0.33,0.0,0.031,meses_a3
2026-04-15,1.83,0.64,0.75,0.011,meses_a3
2026-04-16,0.49,0.0,0.14,0.006,meses_a3
2026-04-17,2.02,0.03,0.91,0.02,meses_a3
2026-04-18,2.71,0.61,0.45,0.007,meses_a3
2026-04-19,1.99,0.0,0.22,0.037,meses_a3
2026-04-20,0.82,0.9,0.59,0.027,meses_a3
2026-04-21,0.0,0.07,0.0,0.019,meses_a3
2026-04-22,0.22,0.0,0.5,0.027,meses_a3
2026-04-23,0.0,0.0,0.37,0.0,meses_a3
2026-04-24,2.58,0.0,0.71,0.004,meses_a3
2026-04-25,0.66,0.0,0.41,0.022,meses_a3
2026-04-26,0.0,0.21,0.35,0.022,meses_a3
2026-04-27,0.78,0.29,0.42,0.025,meses_a3
2026-04-28,0.0,0.0,0.13,0.01,meses_a3
2026-04-29,0.68,0.0,0.02,0.019,meses_a3
2026-04-30,0.61,0.55,0.57,0.003,meses_a3
2026-05-01,0.59,1.32,0.0,0.016,meses_a3
2026-05-02,0.0,1.26,0.95,0.027,meses_a3
2026-05-03,1.4,0.7,0.35,0.029,meses_a3
2026-05-04,0.45,0.05,0.22,0.001,meses_a3
2026-05-05,0.84,0.41,0.37,0.016,meses_a3
2026-05-06,1.0,0.44,0.05,0.018,meses_a3
2026-05-07,0.0,0.42,0.26,0.002,meses_a3
2026-05-08,0.15,0.7,0.3,0.018,meses_a3
2026-05-09,0.4,0.19,0.4,0.02,meses_a3
2026-05-10,0.0,0.18,0.66,0.03,meses_a3
2026-05-11,1.38,0.2,0.44,0.011,meses_a3
2026-05-12,0.68,0.56,0.0,0.013,meses_a3
2026-05-13,0.5,0.0,0.16,0.021,meses_a3
2026-05-14,0.55,0.37,0.0,0.016,meses_a3
2026-05-15,0.18,0.05,0.14,0.024,meses_a3
