date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-11-16,-0.124,meses_a3,-0.12
2025-11-17,-0.05,meses_a3,-0.17
2025-11-18,-0.029,meses_a3,-0.2
2025-11-19,-0.198,meses_a3,-0.4
2025-11-20,-0.075,meses_a3,-0.48
2025-11-21,-0.088,meses_a3,-0.56
2025-11-22,-0.057,meses_a3,-0.62
2025-11-23,-0.072,meses_a3,-0.69
2025-11-24,-0.037,meses_a3,-0.73
2025-11-25,-0.036,meses_a3,-0.77
2025-11-26,0.156,meses_a3,-0.61
2025-11-27,-0.115,meses_a3,-0.73
2025-11-28,-0.034,meses_a3,-0.76
2025-11-29,0.019,meses_a3,-0.74
2025-11-30,-0.064,meses_a3,-0.8
2025-12-01,-0.054,meses_a3,-0.86
2025-12-02,0.049,meses_a3,-0.81
2025-12-03,0.05,meses_a3,-0.76
2025-12-04,0.104,meses_a3,-0.66
2025-12-05,-0.086,meses_a3,-0.74
2025-12-06,-0.234,meses_a3,-0.98
2025-12-07,-0.284,meses_a3,-1.26
2025-12-08,-0.04,meses_a3,-1.3
2025-12-09,-0.124,meses_a3,-1.42
2025-12-10,-0.049,meses_a3,-1.47
2025-12-11,-0.037,meses_a3,-1.51
2025-12-12,-0.118,meses_a3,-1.63
2025-12-13,-0.115,meses_a3,-1.74
2025-12-14,0.011,meses_a3,-1.73
2025-12-15,-0.033,meses_a3,-1.76
2025-12-16,0.014,meses_a3,-1.75
2025-12-17,-0.208,meses_a3,-1.96
2025-12-18,-0.1,meses_a3,-2.06
2025-12-19,-0.136,meses_a3,-2.19
2025-12-20,-0.151,meses_a3,-2.34
2025-12-21,-0.108,meses_a3,-2.45
2025-12-22,-0.045,meses_a3,-2.5
2025-12-23,-0.147,meses_a3,-2.64
2025-12-24,0.017,meses_a3,-2.63
2025-12-25,-0.2,meses_a3,-2.83
2025-12-26,-0.003,meses_a3,-2.83
2025-12-27,-0.098,meses_a3,-2.93
2025-12-28,-0.106,meses_a3,-3.03
2025-12-29,-0.076,meses_a3,-3.11
2025-12-30,-0.086,meses_a3,-3.2
2025-12-31,-0.068,meses_a3,-3.26
2026-01-01,0.052,meses_a3,-3.21
2026-01-02,-0.065,meses_a3,-3.28
2026-01-03,-0.146,meses_a3,-3.42
2026-01-04,-0.092,meses_a3,-3.52
2026-01-05,-0.014,meses_a3,-3.53
2026-01-06,-0.156,meses_a3,-3.69
2026-01-07,-0.183,meses_a3,-3.87
2026-01-08,-0.163,meses_a3,-4.03
2026-01-09,-0.104,meses_a3,-4.14
