date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,1.2,186.0,-8.09,meses_a3
2025-11-17,2.1,201.0,-8.01,meses_a3
2025-11-18,1.9,203.0,-7.99,meses_a3
2025-11-19,0.0,186.0,-8.18,meses_a3
2025-11-20,0.1,176.0,-8.02,meses_a3
2025-11-21,0.7,175.0,-8.03,meses_a3
2025-11-22,1.1,177.0,-8.0,meses_a3
2025-11-23,3.4,194.0,-8.03,meses_a3
2025-11-24,0.1,185.0,-7.98,meses_a3
2025-11-25,0.0,178.0,-7.97,meses_a3
2025-11-26,1.4,181.0,-7.74,meses_a3
2025-11-27,1.4,183.0,-8.08,meses_a3
2025-11-28,0.0,176.0,-7.97,meses_a3
2025-11-29,2.6,186.0,-7.91,meses_a3
2025-11-30,7.3,221.0,-8.05,meses_a3
2025-12-01,1.5,217.0,-8.03,meses_a3
2025-12-02,0.0,204.0,-7.89,meses_a3
2025-12-03,0.0,194.0,-7.88,meses_a3
2025-12-04,0.0,186.0,-7.81,meses_a3
2025-12-05,0.0,179.0,-8.04,meses_a3
2025-12-06,0.0,174.0,-8.22,meses_a3
2025-12-07,0.1,170.0,-8.27,meses_a3
2025-12-08,0.6,169.0,-7.97,meses_a3
2025-12-09,0.0,165.0,-8.07,meses_a3
2025-12-10,0.0,162.0,-7.97,meses_a3
2025-12-11,0.1,160.0,-7.96,meses_a3
2025-12-12,0.4,160.0,-8.06,meses_a3
2025-12-13,0.0,158.0,-8.05,meses_a3
2025-12-14,0.0,156.0,-7.89,meses_a3
2025-12-15,0.0,153.0,-7.94,meses_a3
2025-12-16,0.0,152.0,-7.89,meses_a3
2025-12-17,0.0,152.0,-8.16,meses_a3
2025-12-18,0.1,152.0,-8.03,meses_a3
2025-12-19,0.0,152.0,-8.07,meses_a3
2025-12-20,0.5,154.0,-8.09,meses_a3
2025-12-21,0.2,155.0,-8.04,meses_a3
2025-12-22,0.0,154.0,-7.96,meses_a3
2025-12-23,0.0,153.0,-8.09,meses_a3
2025-12-24,0.0,152.0,-7.88,meses_a3
2025-12-25,0.1,152.0,-8.15,meses_a3
2025-12-26,0.0,152.0,-7.91,meses_a3
2025-12-27,0.0,152.0,-8.02,meses_a3
2025-12-28,0.6,155.0,-8.04,meses_a3
2025-12-29,0.0,154.0,-8.0,meses_a3
2025-12-30,1.6,162.0,-8.02,meses_a3
2025-12-31,0.2,161.0,-8.0,meses_a3
2026-01-01,0.2,160.0,-7.85,meses_a3
2026-01-02,11.8,226.0,-8.06,meses_a3
2026-01-03,1.7,222.0,-8.15,meses_a3
2026-01-04,2.1,221.0,-8.09,meses_a3
2026-01-05,2.5,222.0,-7.99,meses_a3
2026-01-06,3.0,226.0,-8.17,meses_a3
2026-01-07,4.1,236.0,-8.21,meses_a3
2026-01-08,10.6,281.0,-8.23,meses_a3
2026-01-09,0.3,259.0,-8.14,meses_a3
2026-01-10,0.5,242.0,-8.21,meses_a3
2026-01-11,0.2,227.0,-8.05,meses_a3
2026-01-12,0.2,214.0,-7.91,meses_a3
2026-01-13,3.6,223.0,-8.0,meses_a3
2026-01-14,0.2,210.0,-8.04,meses_a3
2026-01-15,0.6,203.0,-8.12,meses_a3
2026-01-16,0.7,197.0,-7.93,meses_a3
2026-01-17,0.0,185.0,-8.16,meses_a3
2026-01-18,0.0,178.0,-7.88,meses_a3
2026-01-19,0.0,173.0,-7.96,meses_a3
2026-01-20,0.0,168.0,-8.09,meses_a3
2026-01-21,0.0,164.0,-8.05,meses_a3
2026-01-22,0.7,164.0,-7.93,meses_a3
2026-01-23,1.3,166.0,-8.02,meses_a3
2026-01-24,1.7,173.0,-8.06,meses_a3
2026-01-25,0.0,168.0,-7.84,meses_a3
2026-01-26,2.9,182.0,-7.88,meses_a3
2026-01-27,3.5,196.0,-7.88,meses_a3
2026-01-28,0.2,188.0,-7.89,meses_a3
2026-01-29,5.0,209.0,-8.05,meses_a3
2026-01-30,6.3,235.0,-7.95,meses_a3
2026-01-31,4.0,242.0,-7.9,meses_a3
2026-02-01,0.5,228.0,-8.11,meses_a3
2026-02-02,6.5,251.0,-7.93,meses_a3
2026-02-03,0.3,235.0,-8.09,meses_a3
2026-02-04,5.2,249.0,-8.22,meses_a3
2026-02-05,0.8,236.0,-8.06,meses_a3
2026-02-06,1.9,231.0,-7.97,meses_a3
2026-02-07,6.3,252.0,-8.12,meses_a3
2026-02-08,3.1,251.0,-7.86,meses_a3
2026-02-09,1.7,242.0,-8.12,meses_a3
2026-02-10,1.0,230.0,-8.05,meses_a3
2026-02-11,0.2,216.0,-7.94,meses_a3
2026-02-12,0.8,208.0,-8.16,meses_a3
2026-02-13,0.0,196.0,-7.91,meses_a3
2026-02-14,0.1,187.0,-7.83,meses_a3
2026-02-15,6.2,214.0,-8.24,meses_a3
2026-02-16,0.0,203.0,-7.94,meses_a3
2026-02-17,1.7,201.0,-7.96,meses_a3
2026-02-18,0.3,193.0,-7.86,meses_a3
2026-02-19,0.6,187.0,-8.04,meses_a3
2026-02-20,0.0,180.0,-8.12,meses_a3
2026-02-21,2.4,188.0,-7.88,meses_a3
2026-02-22,0.2,181.0,-8.03,meses_a3
2026-02-23,17.9,277.0,-7.81,meses_a3
2026-02-24,1.5,262.0,-8.23,meses_a3
2026-02-25,1.5,250.0,-7.93,meses_a3
2026-02-26,0.0,232.0,-7.98,meses_a3
2026-02-27,0.0,217.0,-8.12,meses_a3
2026-02-28,0.0,205.0,-8.07,meses_a3
2026-03-01,0.0,195.0,-7.96,meses_a3
2026-03-02,0.0,185.0,-8.0,meses_a3
2026-03-03,0.0,178.0,-7.91,meses_a3
2026-03-04,0.0,173.0,-8.1,meses_a3
2026-03-05,0.1,169.0,-8.03,meses_a3
2026-03-06,0.0,166.0,-7.95,meses_a3
2026-03-07,0.0,163.0,-7.88,meses_a3
2026-03-08,0.0,160.0,-8.14,meses_a3
2026-03-09,0.0,158.0,-7.84,meses_a3
2026-03-10,0.0,151.0,-8.0,meses_a3
2026-03-11,0.0,151.0,-8.04,meses_a3
2026-03-12,0.0,150.0,-7.83,meses_a3
2026-03-13,0.0,150.0,-7.96,meses_a3
2026-03-14,0.0,150.0,-7.95,meses_a3
2026-03-15,0.0,150.0,-8.11,meses_a3
2026-03-16,0.0,150.0,-7.86,meses_a3
2026-03-17,0.0,150.0,-7.92,meses_a3
2026-03-18,0.0,150.0,-7.87,meses_a3
2026-03-19,0.0,150.0,-7.87,meses_a3
2026-03-20,0.0,150.0,-7.93,meses_a3
2026-03-21,0.0,150.0,-8.07,meses_a3
2026-03-22,0.0,150.0,-7.9,meses_a3
2026-03-23,0.0,150.0,-8.0,meses_a3
2026-03-24,0.0,150.0,-7.85,meses_a3
2026-03-25,0.0,150.0,-7.8,meses_a3
2026-03-26,0.2,151.0,-7.99,meses_a3
2026-03-27,0.0,151.0,-8.07,meses_a3
2026-03-28,11.2,215.0,-8.12,meses_a3
2026-03-29,12.2,273.0,-7.99,meses_a3
2026-03-30,1.8,261.0,-8.11,meses_a3
2026-03-31,4.5,267.0,-8.15,meses_a3
2026-04-01,0.1,246.0,-8.35,meses_a3
2026-04-02,0.7,233.0,-7.98,meses_a3
2026-04-03,1.4,226.0,-7.98,meses_a3
2026-04-04,0.2,213.0,-8.08,meses_a3
2026-04-05,0.0,202.0,-7.96,meses_a3
