date,water_inflow_l_per_min,site_id
2025-11-16,7.1,meses_a3
2025-11-17,5.5,meses_a3
2025-11-18,7.9,meses_a3
2025-11-19,6.8,meses_a3
2025-11-20,5.4,meses_a3
2025-11-21,8.2,meses_a3
2025-11-22,3.9,meses_a3
2025-11-23,6.5,meses_a3
2025-11-24,7.6,meses_a3
2025-11-25,6.9,meses_a3
2025-11-26,6.0,meses_a3
2025-11-27,5.8,meses_a3
2025-11-28,3.8,meses_a3
2025-11-29,7.6,meses_a3
2025-11-30,6.5,meses_a3
2025-12-01,6.2,meses_a3
2025-12-02,5.5,meses_a3
2025-12-03,6.4,meses_a3
2025-12-04,7.3,meses_a3
2025-12-05,5.8,meses_a3
2025-12-06,6.9,meses_a3
2025-12-07,7.3,meses_a3
2025-12-08,5.1,meses_a3
2025-12-09,3.6,meses_a3
2025-12-10,7.4,meses_a3
2025-12-11,8.0,meses_a3
2025-12-12,6.7,meses_a3
2025-12-13,6.5,meses_a3
2025-12-14,7.6,meses_a3
2025-12-15,6.3,meses_a3
2025-12-16,6.3,meses_a3
2025-12-17,6.3,meses_a3
2025-12-18,3.9,meses_a3
2025-12-19,4.3,meses_a3
2025-12-20,6.4,meses_a3
2025-12-21,6.4,meses_a3
2025-12-22,6.7,meses_a3
2025-12-23,3.5,meses_a3
2025-12-24,7.4,meses_a3
2025-12-25,7.1,meses_a3
2025-12-26,6.6,meses_a3
2025-12-27,6.3,meses_a3
2025-12-28,6.2,meses_a3
2025-12-29,5.0,meses_a3
2025-12-30,6.7,meses_a3
2025-12-31,8.0,meses_a3
2026-01-01,6.0,meses_a3
2026-01-02,6.4,meses_a3
2026-01-03,7.9,meses_a3
2026-01-04,6.4,meses_a3
2026-01-05,7.1,meses_a3
2026-01-06,6.9,meses_a3
2026-01-07,7.2,meses_a3
2026-01-08,7.7,meses_a3
2026-01-09,7.6,meses_a3
2026-01-10,7.3,meses_a3
2026-01-11,6.7,meses_a3
2026-01-12,7.2,meses_a3
2026-01-13,7.8,meses_a3
2026-01-14,5.6,meses_a3
2026-01-15,6.3,meses_a3
2026-01-16,6.8,meses_a3
2026-01-17,6.7,meses_a3
2026-01-18,8.8,meses_a3
2026-01-19,6.6,meses_a3
2026-01-20,7.0,meses_a3
2026-01-21,7.0,meses_a3
2026-01-22,7.4,meses_a3
2026-01-23,6.7,meses_a3
2026-01-24,7.3,meses_a3
2026-01-25,6.2,meses_a3
2026-01-26,6.0,meses_a3
2026-01-27,5.9,meses_a3
2026-01-28,6.2,meses_a3
2026-01-29,7.7,meses_a3
2026-01-30,8.3,meses_a3
2026-01-31,7.2,meses_a3
2026-02-01,8.3,meses_a3
2026-02-02,8.1,meses_a3
2026-02-03,7.0,meses_a3
2026-02-04,6.4,meses_a3
2026-02-05,5.9,meses_a3
2026-02-06,6.4,meses_a3
2026-02-07,6.7,meses_a3
2026-02-08,8.2,meses_a3
2026-02-09,7.7,meses_a3
2026-02-10,5.7,meses_a3
2026-02-11,6.6,meses_a3
2026-02-12,5.9,meses_a3
2026-02-13,7.6,meses_a3
2026-02-14,5.7,meses_a3
2026-02-15,5.3,meses_a3
2026-02-16,6.4,meses_a3
2026-02-17,6.8,meses_a3
2026-02-18,6.7,meses_a3
2026-02-19,6.0,meses_a3
2026-02-20,6.3,meses_a3
2026-02-21,6.5,meses_a3
2026-02-22,7.2,meses_a3
2026-02-23,9.0,meses_a3
2026-02-24,7.1,meses_a3
2026-02-25,7.2,meses_a3
2026-02-26,7.9,meses_a3
2026-02-27,7.6,meses_a3
2026-02-28,5.7,meses_a3
2026-03-01,5.6,meses_a3
2026-03-02,7.2,meses_a3
2026-03-03,5.4,meses_a3
2026-03-04,6.2,meses_a3
2026-03-05,7.5,meses_a3
2026-03-06,4.2,meses_a3
2026-03-07,7.1,meses_a3
2026-03-08,7.2,meses_a3
2026-03-09,4.0,meses_a3
2026-03-10,5.3,meses_a3
2026-03-11,6.0,meses_a3
2026-03-12,7.3,meses_a3
2026-03-13,6.1,meses_a3
2026-03-14,5.3,meses_a3
2026-03-15,8.5,meses_a3
2026-03-16,7.2,meses_a3
2026-03-17,5.9,meses_a3
2026-03-18,6.2,meses_a3
2026-03-19,5.5,meses_a3
2026-03-20,4.9,meses_a3
2026-03-21,6.1,meses_a3
2026-03-22,5.5,meses_a3
2026-03-23,4.6,meses_a3
2026-03-24,4.2,meses_a3
2026-03-25,4.2,meses_a3
2026-03-26,5.9,meses_a3
2026-03-27,5.1,meses_a3
2026-03-28,6.7,meses_a3
2026-03-29,9.0,meses_a3
2026-03-30,7.1,meses_a3
2026-03-31,8.0,meses_a3
2026-04-01,5.7,meses_a3
2026-04-02,5.7,meses_a3
2026-04-03,7.2,meses_a3
2026-04-04,7.4,meses_a3
2026-04-05,8.3,meses_a3
2026-04-06,6.9,meses_a3
2026-04-07,6.1,meses_a3
2026-04-08,5.1,meses_a3
2026-04-09,6.9,meses_a3
2026-04-10,6.7,meses_a3
2026-04-11,6.4,meses_a3
2026-04-12,5.9,meses_a3
2026-04-13,5.7,meses_a3
2026-04-14,6.3,meses_a3
2026-04-15,3.9,meses_a3
2026-04-16,5.5,meses_a3
2026-04-17,5.9,meses_a3
2026-04-18,8.2,meses_a3
2026-04-19,5.8,meses_a3
2026-04-20,5.5,meses_a3
2026-04-21,7.4,meses_a3
2026-04-22,7.0,meses_a3
2026-04-23,6.4,meses_a3
2026-04-24,7.4,meses_a3
2026-04-25,6.7,meses_a3
2026-04-26,5.6,meses_a3
2026-04-27,6.0,meses_a3
2026-04-28,8.3,meses_a3
2026-04-29,7.2,meses_a3
2026-04-30,6.3,meses_a3
2026-05-01,5.0,meses_a3
2026-05-02,5.5,meses_a3
2026-05-03,6.5,meses_a3
2026-05-04,5.6,meses_a3
2026-05-05,6.5,meses_a3
2026-05-06,6.7,meses_a3
2026-05-07,5.9,meses_a3
2026-05-08,6.5,meses_a3
2026-05-09,4.6,meses_a3
2026-05-10,5.2,meses_a3
2026-05-11,9.0,meses_a3
2026-05-12,5.4,meses_a3
2026-05-13,9.1,meses_a3
2026-05-14,8.5,meses_a3
2026-05-15,8.4,meses_a3
