date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,7.61,1.94,2.06,0.01,ocna_dej
2025-11-17,5.73,1.13,2.27,0.023,ocna_dej
2025-11-18,5.8,2.28,1.82,0.005,ocna_dej
2025-11-19,8.38,2.54,1.7,0.029,ocna_dej
2025-11-20,9.52,2.45,2.19,0.002,ocna_dej
2025-11-21,7.39,2.47,2.04,0.017,ocna_dej
2025-11-22,7.24,2.55,2.32,0.006,ocna_dej
2025-11-23,8.51,2.63,1.35,0.019,ocna_dej
2025-11-24,6.93,2.71,2.39,0.017,ocna_dej
2025-11-25,8.92,2.31,2.14,0.017,ocna_dej
2025-11-26,9.56,3.0,1.7,0.015,ocna_dej
2025-11-27,7.57,2.64,1.99,0.031,ocna_dej
2025-11-28,8.89,3.23,1.99,0.008,ocna_dej
2025-11-29,7.02,1.67,2.88,0.022,ocna_dej
2025-11-30,9.43,2.45,2.31,0.023,ocna_dej
2025-12-01,9.16,2.68,1.76,0.0,ocna_dej
2025-12-02,8.94,2.81,2.09,0.001,ocna_dej
2025-12-03,10.14,2.98,2.04,0.02,ocna_dej
2025-12-04,10.06,1.94,1.94,0.024,ocna_dej
2025-12-05,9.64,2.37,1.74,0.013,ocna_dej
2025-12-06,7.56,3.37,2.11,0.027,ocna_dej
2025-12-07,7.62,2.62,1.89,0.026,ocna_dej
2025-12-08,8.48,2.86,2.05,0.033,ocna_dej
2025-12-09,8.95,2.57,1.7,0.029,ocna_dej
2025-12-10,8.96,2.22,1.94,0.008,ocna_dej
2025-12-11,9.35,2.88,2.12,0.026,ocna_dej
2025-12-12,8.24,2.42,1.63,0.007,ocna_dej
2025-12-13,9.06,2.35,2.46,0.013,ocna_dej
2025-12-14,7.6,2.25,2.5,0.0,ocna_dej
2025-12-15,7.18,2.75,1.72,0.013,ocna_dej
2025-12-16,9.71,2.31,2.03,0.031,ocna_dej
2025-12-17,9.58,2.4,2.19,0.032,ocna_dej
2025-12-18,8.64,2.35,2.26,0.018,ocna_dej
2025-12-19,6.23,2.59,2.16,0.011,ocna_dej
2025-12-20,8.3,2.69,1.85,0.043,ocna_dej
2025-12-21,8.81,2.19,1.87,0.028,ocna_dej
2025-12-22,7.96,2.39,2.32,0.015,ocna_dej
2025-12-23,7.5,2.87,2.07,0.014,ocna_dej
2025-12-24,6.82,1.79,2.05,0.019,ocna_dej
2025-12-25,7.56,3.1,1.65,0.022,ocna_dej
2025-12-26,7.72,3.51,2.12,0.019,ocna_dej
2025-12-27,8.12,2.1,1.73,0.037,ocna_dej
2025-12-28,7.45,2.3,1.5,0.014,ocna_dej
2025-12-29,8.39,2.74,1.78,0.023,ocna_dej
2025-12-30,7.82,2.57,1.75,0.019,ocna_dej
2025-12-31,9.54,2.16,2.02,0.021,ocna_dej
