date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.2,156.0,-8.05,ocna_dej
2025-11-17,2.8,199.0,-8.21,ocna_dej
2025-11-18,6.8,261.0,-7.9,ocna_dej
2025-11-19,0.6,231.0,-8.03,ocna_dej
2025-11-20,0.5,212.0,-8.15,ocna_dej
2025-11-21,0.1,196.0,-8.05,ocna_dej
2025-11-22,2.9,206.0,-7.97,ocna_dej
2025-11-23,7.9,247.0,-8.21,ocna_dej
2025-11-24,0.4,229.0,-8.18,ocna_dej
2025-11-25,0.0,212.0,-7.97,ocna_dej
2025-11-26,0.2,201.0,-8.08,ocna_dej
2025-11-27,6.3,228.0,-7.93,ocna_dej
2025-11-28,0.8,218.0,-8.07,ocna_dej
2025-11-29,3.9,227.0,-8.07,ocna_dej
2025-11-30,6.8,251.0,-8.0,ocna_dej
2025-12-01,2.5,247.0,-7.91,ocna_dej
2025-12-02,0.0,229.0,-7.95,ocna_dej
2025-12-03,0.0,213.0,-7.95,ocna_dej
2025-12-04,0.0,201.0,-8.13,ocna_dej
2025-12-05,0.0,192.0,-8.06,ocna_dej
2025-12-06,0.0,184.0,-7.88,ocna_dej
2025-12-07,0.0,177.0,-8.16,ocna_dej
2025-12-08,0.0,170.0,-8.0,ocna_dej
2025-12-09,0.0,166.0,-7.94,ocna_dej
2025-12-10,0.0,163.0,-8.06,ocna_dej
2025-12-11,0.0,161.0,-7.94,ocna_dej
2025-12-12,0.8,162.0,-8.01,ocna_dej
2025-12-13,0.0,159.0,-7.87,ocna_dej
2025-12-14,0.0,156.0,-7.95,ocna_dej
2025-12-15,0.0,153.0,-8.03,ocna_dej
2025-12-16,0.0,152.0,-8.01,ocna_dej
2025-12-17,0.0,152.0,-8.09,ocna_dej
2025-12-18,0.1,152.0,-8.0,ocna_dej
2025-12-19,0.0,152.0,-8.12,ocna_dej
2025-12-20,0.0,151.0,-7.91,ocna_dej
2025-12-21,0.3,153.0,-8.04,ocna_dej
2025-12-22,0.1,153.0,-7.88,ocna_dej
2025-12-23,0.0,152.0,-7.97,ocna_dej
2025-12-24,0.2,153.0,-8.04,ocna_dej
2025-12-25,0.4,155.0,-7.97,ocna_dej
2025-12-26,0.0,154.0,-7.87,ocna_dej
2025-12-27,0.0,153.0,-7.88,ocna_dej
2025-12-28,0.3,154.0,-8.04,ocna_dej
2025-12-29,0.0,153.0,-7.97,ocna_dej
2025-12-30,0.3,155.0,-8.0,ocna_dej
2025-12-31,0.7,158.0,-7.89,ocna_dej
2026-01-01,1.1,163.0,-8.01,ocna_dej
2026-01-02,12.4,231.0,-7.95,ocna_dej
2026-01-03,5.2,246.0,-8.03,ocna_dej
2026-01-04,2.4,243.0,-8.12,ocna_dej
2026-01-05,3.1,243.0,-8.13,ocna_dej
2026-01-06,2.7,242.0,-8.03,ocna_dej
2026-01-07,6.8,264.0,-8.23,ocna_dej
2026-01-08,15.8,334.0,-8.26,ocna_dej
2026-01-09,0.6,304.0,-7.89,ocna_dej
2026-01-10,0.2,277.0,-8.03,ocna_dej
2026-01-11,0.5,257.0,-8.1,ocna_dej
2026-01-12,1.3,245.0,-8.02,ocna_dej
2026-01-13,2.3,241.0,-8.02,ocna_dej
2026-01-14,0.2,225.0,-8.0,ocna_dej
2026-01-15,1.4,220.0,-8.06,ocna_dej
2026-01-16,0.0,207.0,-8.08,ocna_dej
2026-01-17,0.0,193.0,-8.01,ocna_dej
2026-01-18,0.0,184.0,-7.89,ocna_dej
2026-01-19,0.0,177.0,-8.03,ocna_dej
2026-01-20,0.0,171.0,-7.86,ocna_dej
2026-01-21,0.0,166.0,-7.79,ocna_dej
2026-01-22,0.4,164.0,-8.28,ocna_dej
2026-01-23,3.0,174.0,-7.96,ocna_dej
2026-01-24,0.5,172.0,-7.91,ocna_dej
2026-01-25,0.0,168.0,-7.92,ocna_dej
2026-01-26,6.6,203.0,-8.0,ocna_dej
2026-01-27,2.1,205.0,-7.95,ocna_dej
2026-01-28,0.3,196.0,-8.33,ocna_dej
2026-01-29,7.7,232.0,-8.07,ocna_dej
2026-01-30,1.0,222.0,-7.91,ocna_dej
2026-01-31,3.2,227.0,-7.96,ocna_dej
2026-02-01,0.5,216.0,-8.03,ocna_dej
2026-02-02,0.4,206.0,-7.97,ocna_dej
2026-02-03,0.0,196.0,-7.86,ocna_dej
2026-02-04,1.2,195.0,-8.01,ocna_dej
2026-02-05,1.2,193.0,-8.03,ocna_dej
2026-02-06,0.0,185.0,-7.84,ocna_dej
2026-02-07,0.8,183.0,-7.92,ocna_dej
2026-02-08,3.3,196.0,-8.08,ocna_dej
2026-02-09,0.6,191.0,-8.09,ocna_dej
2026-02-10,0.2,183.0,-8.19,ocna_dej
2026-02-11,0.1,177.0,-7.9,ocna_dej
2026-02-12,0.2,173.0,-8.13,ocna_dej
2026-02-13,0.2,168.0,-7.95,ocna_dej
2026-02-14,0.0,164.0,-7.93,ocna_dej
2026-02-15,5.5,192.0,-7.96,ocna_dej
2026-02-16,0.1,185.0,-8.23,ocna_dej
2026-02-17,2.7,194.0,-7.94,ocna_dej
2026-02-18,1.1,192.0,-7.96,ocna_dej
2026-02-19,1.6,193.0,-7.95,ocna_dej
2026-02-20,0.2,186.0,-7.57,ocna_dej
2026-02-21,0.7,184.0,-7.92,ocna_dej
2026-02-22,0.2,179.0,-8.16,ocna_dej
2026-02-23,9.4,226.0,-8.15,ocna_dej
2026-02-24,5.3,243.0,-8.01,ocna_dej
2026-02-25,2.2,238.0,-8.19,ocna_dej
2026-02-26,0.0,222.0,-8.06,ocna_dej
2026-02-27,0.0,209.0,-8.06,ocna_dej
2026-02-28,0.0,198.0,-8.1,ocna_dej
2026-03-01,0.0,190.0,-8.05,ocna_dej
2026-03-02,0.0,181.0,-8.07,ocna_dej
2026-03-03,0.0,175.0,-7.95,ocna_dej
2026-03-04,0.0,170.0,-7.98,ocna_dej
2026-03-05,0.0,166.0,-8.14,ocna_dej
2026-03-06,0.0,163.0,-8.03,ocna_dej
2026-03-07,0.0,160.0,-7.89,ocna_dej
2026-03-08,0.0,158.0,-8.06,ocna_dej
2026-03-09,0.0,157.0,-8.1,ocna_dej
2026-03-10,0.0,153.0,-8.11,ocna_dej
2026-03-11,0.0,151.0,-7.97,ocna_dej
2026-03-12,0.0,150.0,-8.1,ocna_dej
2026-03-13,0.0,150.0,-7.9,ocna_dej
2026-03-14,0.0,150.0,-8.13,ocna_dej
2026-03-15,0.0,150.0,-8.04,ocna_dej
2026-03-16,0.0,150.0,-8.13,ocna_dej
2026-03-17,0.0,150.0,-7.99,ocna_dej
2026-03-18,0.0,150.0,-8.13,ocna_dej
2026-03-19,0.0,150.0,-7.9,ocna_dej
2026-03-20,0.0,150.0,-7.97,ocna_dej
2026-03-21,0.0,150.0,-7.8,ocna_dej
2026-03-22,0.0,150.0,-8.0,ocna_dej
2026-03-23,0.0,150.0,-7.84,ocna_dej
2026-03-24,0.0,150.0,-8.22,ocna_dej
2026-03-25,0.0,150.0,-7.86,ocna_dej
2026-03-26,0.0,150.0,-7.91,ocna_dej
2026-03-27,0.0,150.0,-8.06,ocna_dej
2026-03-28,8.0,196.0,-8.15,ocna_dej
2026-03-29,10.1,245.0,-7.91,ocna_dej
2026-03-30,1.6,237.0,-8.11,ocna_dej
2026-03-31,1.5,230.0,-7.97,ocna_dej
2026-04-01,0.0,215.0,-8.09,ocna_dej
2026-04-02,0.0,204.0,-8.09,ocna_dej
2026-04-03,10.0,251.0,-8.04,ocna_dej
2026-04-04,0.0,233.0,-8.07,ocna_dej
2026-04-05,0.0,218.0,-7.92,ocna_dej
2026-04-06,0.4,208.0,-8.09,ocna_dej
2026-04-07,0.0,197.0,-8.01,ocna_dej
2026-04-08,0.0,189.0,-7.93,ocna_dej
2026-04-09,0.4,184.0,-7.92,ocna_dej
2026-04-10,0.0,178.0,-7.91,ocna_dej
2026-04-11,0.0,173.0,-8.0,ocna_dej
2026-04-12,0.0,166.0,-7.98,ocna_dej
2026-04-13,0.0,161.0,-7.93,ocna_dej
2026-04-14,0.0,158.0,-7.97,ocna_dej
2026-04-15,0.0,156.0,-8.03,ocna_dej
2026-04-16,0.0,155.0,-7.96,ocna_dej
2026-04-17,2.5,169.0,-7.93,ocna_dej
2026-04-18,0.0,162.0,-7.82,ocna_dej
2026-04-19,0.0,160.0,-7.92,ocna_dej
2026-04-20,4.5,184.0,-7.98,ocna_dej
2026-04-21,3.4,197.0,-8.01,ocna_dej
2026-04-22,0.4,191.0,-7.97,ocna_dej
2026-04-23,0.0,183.0,-7.95,ocna_dej
2026-04-24,0.0,177.0,-7.86,ocna_dej
2026-04-25,0.0,172.0,-8.1,ocna_dej
2026-04-26,0.0,168.0,-7.94,ocna_dej
2026-04-27,0.0,165.0,-8.01,ocna_dej
2026-04-28,0.0,162.0,-7.91,ocna_dej
2026-04-29,0.0,160.0,-8.06,ocna_dej
2026-04-30,0.8,163.0,-8.11,ocna_dej
2026-05-01,0.0,160.0,-8.07,ocna_dej
2026-05-02,0.0,158.0,-8.02,ocna_dej
2026-05-03,0.0,156.0,-7.8,ocna_dej
2026-05-04,0.0,155.0,-7.9,ocna_dej
2026-05-05,0.0,153.0,-7.98,ocna_dej
2026-05-06,0.0,152.0,-7.95,ocna_dej
2026-05-07,1.5,160.0,-7.82,ocna_dej
2026-05-08,4.1,181.0,-8.02,ocna_dej
2026-05-09,2.9,192.0,-7.96,ocna_dej
2026-05-10,5.5,216.0,-8.05,ocna_dej
2026-05-11,0.0,204.0,-7.95,ocna_dej
2026-05-12,6.5,232.0,-7.99,ocna_dej
2026-05-13,6.9,256.0,-8.1,ocna_dej
2026-05-14,0.0,237.0,-8.16,ocna_dej
2026-05-15,0.1,222.0,-8.09,ocna_dej
