date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,9.82,2.47,1.72,0.017,poiana_a1
2025-11-17,7.69,3.45,1.92,0.019,poiana_a1
2025-11-18,8.21,2.65,1.93,0.015,poiana_a1
2025-11-19,10.26,2.03,2.3,0.029,poiana_a1
2025-11-20,8.76,2.46,1.54,0.029,poiana_a1
2025-11-21,7.15,2.83,2.26,0.016,poiana_a1
2025-11-22,8.51,2.72,1.72,0.009,poiana_a1
2025-11-23,8.27,2.33,1.99,0.033,poiana_a1
2025-11-24,9.17,2.95,2.19,0.013,poiana_a1
2025-11-25,8.31,1.9,2.02,0.021,poiana_a1
2025-11-26,7.63,2.35,2.25,0.029,poiana_a1
2025-11-27,7.11,2.41,1.72,0.015,poiana_a1
2025-11-28,8.36,2.03,2.22,0.017,poiana_a1
2025-11-29,8.83,1.63,2.39,0.052,poiana_a1
2025-11-30,8.33,1.98,1.97,0.008,poiana_a1
2025-12-01,7.92,3.22,2.27,0.017,poiana_a1
2025-12-02,7.43,2.26,2.01,0.023,poiana_a1
2025-12-03,10.11,2.33,2.24,0.01,poiana_a1
2025-12-04,8.46,3.31,2.26,0.02,poiana_a1
2025-12-05,7.98,3.0,2.34,0.012,poiana_a1
2025-12-06,9.7,2.47,2.41,0.018,poiana_a1
2025-12-07,9.85,2.4,2.38,0.012,poiana_a1
2025-12-08,9.92,2.13,1.79,0.028,poiana_a1
2025-12-09,8.65,2.61,2.15,0.007,poiana_a1
2025-12-10,7.82,2.45,1.77,0.029,poiana_a1
2025-12-11,8.2,2.59,1.5,0.012,poiana_a1
2025-12-12,10.33,3.37,2.46,0.023,poiana_a1
2025-12-13,9.79,2.43,2.51,0.0,poiana_a1
2025-12-14,9.45,2.37,2.18,0.012,poiana_a1
2025-12-15,7.49,2.93,2.04,0.029,poiana_a1
2025-12-16,9.02,2.0,1.78,0.024,poiana_a1
2025-12-17,7.8,2.4,2.54,0.03,poiana_a1
2025-12-18,8.58,2.86,1.84,0.041,poiana_a1
2025-12-19,9.0,2.69,1.75,0.043,poiana_a1
2025-12-20,8.31,2.01,1.96,0.024,poiana_a1
2025-12-21,9.94,2.04,2.23,0.031,poiana_a1
2025-12-22,7.94,2.66,2.29,0.014,poiana_a1
2025-12-23,8.9,2.31,2.24,0.034,poiana_a1
