date,convergence_mm_per_day,site_id,convergence_cumulative_mm
2025-11-16,-0.071,poiana_a1,-0.07
2025-11-17,-0.039,poiana_a1,-0.11
2025-11-18,-0.299,poiana_a1,-0.41
2025-11-19,-0.334,poiana_a1,-0.74
2025-11-20,-0.166,poiana_a1,-0.91
2025-11-21,-0.14,poiana_a1,-1.05
2025-11-22,-0.171,poiana_a1,-1.22
2025-11-23,-0.232,poiana_a1,-1.45
2025-11-24,-0.198,poiana_a1,-1.65
2025-11-25,-0.177,poiana_a1,-1.83
2025-11-26,-0.115,poiana_a1,-1.94
2025-11-27,-0.108,poiana_a1,-2.05
2025-11-28,-0.328,poiana_a1,-2.38
2025-11-29,-0.203,poiana_a1,-2.58
2025-11-30,-0.338,poiana_a1,-2.92
2025-12-01,-0.178,poiana_a1,-3.1
2025-12-02,-0.215,poiana_a1,-3.31
2025-12-03,-0.399,poiana_a1,-3.71
2025-12-04,-0.248,poiana_a1,-3.96
2025-12-05,-0.216,poiana_a1,-4.18
2025-12-06,-0.2,poiana_a1,-4.38
2025-12-07,-0.166,poiana_a1,-4.54
2025-12-08,-0.266,poiana_a1,-4.81
2025-12-09,-0.167,poiana_a1,-4.97
2025-12-10,-0.242,poiana_a1,-5.22
2025-12-11,-0.066,poiana_a1,-5.28
2025-12-12,-0.215,poiana_a1,-5.5
2025-12-13,-0.085,poiana_a1,-5.58
2025-12-14,-0.191,poiana_a1,-5.77
2025-12-15,-0.099,poiana_a1,-5.87
2025-12-16,-0.207,poiana_a1,-6.08
2025-12-17,-0.121,poiana_a1,-6.2
2025-12-18,-0.283,poiana_a1,-6.48
2025-12-19,-0.19,poiana_a1,-6.67
2025-12-20,-0.239,poiana_a1,-6.91
2025-12-21,-0.272,poiana_a1,-7.18
2025-12-22,-0.194,poiana_a1,-7.38
2025-12-23,-0.101,poiana_a1,-7.48
2025-12-24,-0.241,poiana_a1,-7.72
2025-12-25,-0.204,poiana_a1,-7.92
2025-12-26,-0.212,poiana_a1,-8.14
2025-12-27,-0.29,poiana_a1,-8.43
2025-12-28,-0.198,poiana_a1,-8.62
2025-12-29,-0.121,poiana_a1,-8.74
2025-12-30,-0.059,poiana_a1,-8.8
2025-12-31,-0.083,poiana_a1,-8.89
2026-01-01,-0.079,poiana_a1,-8.97
2026-01-02,-0.173,poiana_a1,-9.14
2026-01-03,-0.288,poiana_a1,-9.43
2026-01-04,-0.208,poiana_a1,-9.64
2026-01-05,-0.109,poiana_a1,-9.74
2026-01-06,-0.257,poiana_a1,-10.0
2026-01-07,-0.21,poiana_a1,-10.21
2026-01-08,-0.288,poiana_a1,-10.5
2026-01-09,-0.1,poiana_a1,-10.6
2026-01-10,-0.184,poiana_a1,-10.78
2026-01-11,-0.237,poiana_a1,-11.02
2026-01-12,-0.236,poiana_a1,-11.26
2026-01-13,-0.351,poiana_a1,-11.61
2026-01-14,-0.066,poiana_a1,-11.67
2026-01-15,-0.264,poiana_a1,-11.94
2026-01-16,-0.21,poiana_a1,-12.15
2026-01-17,-0.17,poiana_a1,-12.32
2026-01-18,-0.132,poiana_a1,-12.45
2026-01-19,-0.251,poiana_a1,-12.7
2026-01-20,-0.163,poiana_a1,-12.86
2026-01-21,-0.266,poiana_a1,-13.13
2026-01-22,-0.272,poiana_a1,-13.4
2026-01-23,-0.08,poiana_a1,-13.48
2026-01-24,-0.264,poiana_a1,-13.74
