date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.0,150.0,-7.76,poiana_a1
2025-11-17,0.0,150.0,-7.72,poiana_a1
2025-11-18,7.3,238.0,-8.13,poiana_a1
2025-11-19,7.4,282.0,-8.22,poiana_a1
2025-11-20,2.1,262.0,-7.99,poiana_a1
2025-11-21,1.1,242.0,-7.94,poiana_a1
2025-11-22,3.5,245.0,-7.98,poiana_a1
2025-11-23,19.7,358.0,-8.17,poiana_a1
2025-11-24,0.3,314.0,-8.08,poiana_a1
2025-11-25,0.0,280.0,-8.02,poiana_a1
2025-11-26,0.1,254.0,-7.92,poiana_a1
2025-11-27,18.0,341.0,-7.99,poiana_a1
2025-11-28,6.6,342.0,-8.27,poiana_a1
2025-11-29,22.0,433.0,-8.2,poiana_a1
2025-11-30,6.1,414.0,-8.35,poiana_a1
2025-12-01,1.4,374.0,-8.12,poiana_a1
2025-12-02,0.0,333.0,-8.12,poiana_a1
2025-12-03,0.2,299.0,-8.32,poiana_a1
2025-12-04,0.0,270.0,-8.1,poiana_a1
2025-12-05,0.2,249.0,-8.04,poiana_a1
2025-12-06,0.2,232.0,-8.0,poiana_a1
2025-12-07,0.4,218.0,-7.94,poiana_a1
2025-12-08,0.0,200.0,-8.05,poiana_a1
2025-12-09,0.0,191.0,-7.92,poiana_a1
2025-12-10,0.0,184.0,-8.0,poiana_a1
2025-12-11,0.0,177.0,-7.78,poiana_a1
2025-12-12,0.0,167.0,-7.95,poiana_a1
2025-12-13,0.0,162.0,-7.79,poiana_a1
2025-12-14,0.0,154.0,-7.91,poiana_a1
2025-12-15,0.0,151.0,-7.79,poiana_a1
2025-12-16,0.0,151.0,-7.93,poiana_a1
2025-12-17,0.0,151.0,-7.82,poiana_a1
2025-12-18,0.0,150.0,-8.02,poiana_a1
2025-12-19,0.0,150.0,-7.91,poiana_a1
2025-12-20,0.0,150.0,-7.97,poiana_a1
2025-12-21,0.0,150.0,-8.01,poiana_a1
2025-12-22,0.0,150.0,-7.91,poiana_a1
2025-12-23,0.0,150.0,-7.8,poiana_a1
2025-12-24,4.4,175.0,-8.0,poiana_a1
2025-12-25,1.9,181.0,-7.96,poiana_a1
