date,water_inflow_l_per_min,site_id
2025-11-16,13.9,poiana_a1
2025-11-17,10.8,poiana_a1
2025-11-18,13.3,poiana_a1
2025-11-19,13.5,poiana_a1
2025-11-20,12.1,poiana_a1
2025-11-21,12.8,poiana_a1
2025-11-22,14.3,poiana_a1
2025-11-23,15.4,poiana_a1
2025-11-24,14.6,poiana_a1
2025-11-25,12.5,poiana_a1
2025-11-26,12.7,poiana_a1
2025-11-27,14.8,poiana_a1
2025-11-28,15.9,poiana_a1
2025-11-29,17.2,poiana_a1
2025-11-30,17.3,poiana_a1
2025-12-01,14.6,poiana_a1
2025-12-02,15.6,poiana_a1
2025-12-03,12.6,poiana_a1
2025-12-04,14.0,poiana_a1
2025-12-05,13.1,poiana_a1
2025-12-06,12.2,poiana_a1
2025-12-07,12.1,poiana_a1
2025-12-08,14.1,poiana_a1
2025-12-09,12.4,poiana_a1
2025-12-10,10.5,poiana_a1
2025-12-11,12.7,poiana_a1
2025-12-12,11.0,poiana_a1
2025-12-13,11.0,poiana_a1
2025-12-14,11.6,poiana_a1
2025-12-15,11.0,poiana_a1
2025-12-16,13.3,poiana_a1
2025-12-17,11.0,poiana_a1
2025-12-18,10.3,poiana_a1
2025-12-19,11.3,poiana_a1
2025-12-20,12.7,poiana_a1
2025-12-21,12.6,poiana_a1
2025-12-22,13.1,poiana_a1
2025-12-23,11.5,poiana_a1
2025-12-24,12.3,poiana_a1
2025-12-25,11.9,poiana_a1
2025-12-26,13.5,poiana_a1
2025-12-27,14.1,poiana_a1
2025-12-28,12.5,poiana_a1
2025-12-29,11.1,poiana_a1
2025-12-30,14.4,poiana_a1
2025-12-31,11.7,poiana_a1
2026-01-01,12.9,poiana_a1
2026-01-02,11.3,poiana_a1
2026-01-03,15.9,poiana_a1
2026-01-04,12.9,poiana_a1
2026-01-05,14.1,poiana_a1
2026-01-06,14.1,poiana_a1
2026-01-07,12.9,poiana_a1
2026-01-08,15.2,poiana_a1
2026-01-09,13.9,poiana_a1
2026-01-10,11.1,poiana_a1
2026-01-11,12.2,poiana_a1
2026-01-12,13.3,poiana_a1
2026-01-13,15.6,poiana_a1
2026-01-14,12.2,poiana_a1
2026-01-15,11.5,poiana_a1
2026-01-16,11.3,poiana_a1
2026-01-17,13.4,poiana_a1
2026-01-18,12.5,poiana_a1
2026-01-19,12.4,poiana_a1
2026-01-20,13.1,poiana_a1
2026-01-21,13.6,poiana_a1
2026-01-22,13.9,poiana_a1
2026-01-23,11.7,poiana_a1
2026-01-24,11.6,poiana_a1
2026-01-25,12.6,poiana_a1
2026-01-26,15.5,poiana_a1
2026-01-27,15.4,poiana_a1
2026-01-28,14.1,poiana_a1
2026-01-29,13.9,poiana_a1
2026-01-30,13.4,poiana_a1
2026-01-31,12.9,poiana_a1
2026-02-01,12.4,poiana_a1
2026-02-02,12.4,poiana_a1
2026-02-03,13.9,poiana_a1
2026-02-04,13.4,poiana_a1
2026-02-05,13.3,poiana_a1
2026-02-06,14.4,poiana_a1
2026-02-07,10.9,poiana_a1
2026-02-08,11.8,poiana_a1
2026-02-09,11.4,poiana_a1
2026-02-10,14.0,poiana_a1
2026-02-11,12.9,poiana_a1
2026-02-12,11.9,poiana_a1
2026-02-13,13.0,poiana_a1
2026-02-14,11.6,poiana_a1
2026-02-15,13.8,poiana_a1
2026-02-16,13.7,poiana_a1
2026-02-17,14.4,poiana_a1
2026-02-18,17.3,poiana_a1
2026-02-19,15.3,poiana_a1
2026-02-20,14.8,poiana_a1
2026-02-21,15.0,poiana_a1
2026-02-22,13.4,poiana_a1
2026-02-23,12.1,poiana_a1
2026-02-24,16.5,poiana_a1
2026-02-25,13.0,poiana_a1
2026-02-26,14.9,poiana_a1
2026-02-27,13.4,poiana_a1
2026-02-28,12.7,poiana_a1
2026-03-01,12.2,poiana_a1
2026-03-02,13.2,poiana_a1
2026-03-03,11.9,poiana_a1
2026-03-04,9.7,poiana_a1
2026-03-05,12.0,poiana_a1
2026-03-06,14.3,poiana_a1
2026-03-07,12.0,poiana_a1
2026-03-08,10.6,poiana_a1
2026-03-09,12.9,poiana_a1
2026-03-10,12.3,poiana_a1
2026-03-11,11.2,poiana_a1
2026-03-12,12.9,poiana_a1
2026-03-13,10.4,poiana_a1
2026-03-14,10.5,poiana_a1
2026-03-15,12.2,poiana_a1
2026-03-16,11.3,poiana_a1
2026-03-17,10.3,poiana_a1
2026-03-18,12.7,poiana_a1
2026-03-19,11.6,poiana_a1
2026-03-20,12.1,poiana_a1
2026-03-21,10.3,poiana_a1
2026-03-22,13.1,poiana_a1
2026-03-23,11.7,poiana_a1
2026-03-24,12.6,poiana_a1
2026-03-25,12.8,poiana_a1
2026-03-26,13.2,poiana_a1
2026-03-27,11.9,poiana_a1
2026-03-28,15.5,poiana_a1
2026-03-29,14.8,poiana_a1
2026-03-30,12.9,poiana_a1
2026-03-31,15.2,poiana_a1
2026-04-01,14.9,poiana_a1
2026-04-02,14.9,poiana_a1
2026-04-03,15.3,poiana_a1
2026-04-04,14.7,poiana_a1
2026-04-05,12.8,poiana_a1
2026-04-06,13.2,poiana_a1
2026-04-07,11.7,poiana_a1
2026-04-08,13.0,poiana_a1
2026-04-09,12.8,poiana_a1
2026-04-10,14.0,poiana_a1
2026-04-11,15.3,poiana_a1
2026-04-12,13.1,poiana_a1
2026-04-13,12.4,poiana_a1
2026-04-14,14.6,poiana_a1
2026-04-15,12.4,poiana_a1
2026-04-16,12.4,poiana_a1
2026-04-17,13.0,poiana_a1
2026-04-18,13.3,poiana_a1
2026-04-19,10.6,poiana_a1
2026-04-20,15.1,poiana_a1
2026-04-21,12.9,poiana_a1
2026-04-22,11.7,poiana_a1
2026-04-23,12.7,poiana_a1
2026-04-24,12.2,poiana_a1
2026-04-25,13.4,poiana_a1
2026-04-26,11.6,poiana_a1
2026-04-27,13.7,poiana_a1
2026-04-28,12.3,poiana_a1
2026-04-29,11.9,poiana_a1
2026-04-30,14.8,poiana_a1
2026-05-01,13.1,poiana_a1
2026-05-02,14.7,poiana_a1
2026-05-03,13.2,poiana_a1
2026-05-04,13.6,poiana_a1
2026-05-05,11.8,poiana_a1
2026-05-06,10.9,poiana_a1
2026-05-07,11.9,poiana_a1
2026-05-08,12.3,poiana_a1
2026-05-09,15.7,poiana_a1
2026-05-10,14.1,poiana_a1
2026-05-11,13.6,poiana_a1
2026-05-12,15.3,poiana_a1
2026-05-13,14.1,poiana_a1
2026-05-14,13.9,poiana_a1
2026-05-15,15.3,poiana_a1
