date,pgv_mm_per_s,site_id
2025-11-16,2.12,poiana_a1
2025-11-17,6.8,poiana_a1
2025-11-18,3.96,poiana_a1
2025-11-19,6.75,poiana_a1
2025-11-20,1.65,poiana_a1
2025-11-21,3.74,poiana_a1
2025-11-22,0.53,poiana_a1
2025-11-23,1.26,poiana_a1
2025-11-24,0.19,poiana_a1
2025-11-25,1.32,poiana_a1
2025-11-26,3.16,poiana_a1
2025-11-27,6.51,poiana_a1
2025-11-28,3.62,poiana_a1
2025-11-29,3.99,poiana_a1
2025-11-30,0.1,poiana_a1
2025-12-01,1.69,poiana_a1
2025-12-02,0.96,poiana_a1
2025-12-03,1.82,poiana_a1
2025-12-04,3.47,poiana_a1
2025-12-05,5.55,poiana_a1
2025-12-06,0.4,poiana_a1
2025-12-07,0.53,poiana_a1
2025-12-08,7.3,poiana_a1
2025-12-09,8.23,poiana_a1
2025-12-10,1.67,poiana_a1
2025-12-11,6.11,poiana_a1
2025-12-12,1.83,poiana_a1
2025-12-13,0.42,poiana_a1
2025-12-14,2.78,poiana_a1
2025-12-15,4.15,poiana_a1
2025-12-16,0.1,poiana_a1
2025-12-17,0.19,poiana_a1
2025-12-18,3.46,poiana_a1
2025-12-19,0.62,poiana_a1
2025-12-20,1.36,poiana_a1
2025-12-21,2.5,poiana_a1
2025-12-22,7.71,poiana_a1
2025-12-23,3.71,poiana_a1
2025-12-24,0.01,poiana_a1
2025-12-25,1.17,poiana_a1
2025-12-26,1.52,poiana_a1
2025-12-27,3.61,poiana_a1
2025-12-28,1.13,poiana_a1
2025-12-29,0.86,poiana_a1
2025-12-30,0.15,poiana_a1
2025-12-31,0.18,poiana_a1
2026-01-01,4.08,poiana_a1
2026-01-02,2.2,poiana_a1
2026-01-03,6.33,poiana_a1
2026-01-04,1.25,poiana_a1
2026-01-05,5.32,poiana_a1
2026-01-06,0.72,poiana_a1
2026-01-07,1.7,poiana_a1
2026-01-08,0.64,poiana_a1
2026-01-09,3.39,poiana_a1
2026-01-10,0.9,poiana_a1
2026-01-11,0.28,poiana_a1
2026-01-12,4.45,poiana_a1
2026-01-13,5.21,poiana_a1
2026-01-14,2.67,poiana_a1
2026-01-15,0.15,poiana_a1
2026-01-16,1.87,poiana_a1
2026-01-17,1.66,poiana_a1
2026-01-18,0.33,poiana_a1
2026-01-19,6.47,poiana_a1
2026-01-20,3.8,poiana_a1
2026-01-21,0.77,poiana_a1
2026-01-22,7.0,poiana_a1
2026-01-23,2.04,poiana_a1
2026-01-24,0.39,poiana_a1
2026-01-25,0.5,poiana_a1
2026-01-26,1.13,poiana_a1
2026-01-27,0.42,poiana_a1
2026-01-28,1.96,poiana_a1
2026-01-29,1.69,poiana_a1
2026-01-30,0.47,poiana_a1
2026-01-31,0.14,poiana_a1
2026-02-01,0.16,poiana_a1
2026-02-02,1.69,poiana_a1
2026-02-03,0.26,poiana_a1
2026-02-04,1.08,poiana_a1
2026-02-05,2.17,poiana_a1
2026-02-06,0.15,poiana_a1
2026-02-07,0.2,poiana_a1
2026-02-08,6.9,poiana_a1
2026-02-09,0.49,poiana_a1
2026-02-10,0.64,poiana_a1
2026-02-11,5.72,poiana_a1
2026-02-12,10.27,poiana_a1
2026-02-13,0.46,poiana_a1
2026-02-14,0.95,poiana_a1
2026-02-15,3.25,poiana_a1
2026-02-16,0.23,poiana_a1
2026-02-17,4.58,poiana_a1
2026-02-18,5.69,poiana_a1
2026-02-19,0.38,poiana_a1
2026-02-20,1.16,poiana_a1
2026-02-21,0.16,poiana_a1
2026-02-22,1.41,poiana_a1
2026-02-23,0.45,poiana_a1
2026-02-24,2.05,poiana_a1
2026-02-25,0.77,poiana_a1
