date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,1.3,0.29,0.39,0.028,praid
2025-11-17,0.22,0.22,0.64,0.016,praid
2025-11-18,0.0,0.08,1.02,0.021,praid
2025-11-19,1.62,0.77,0.35,0.018,praid
2025-11-20,1.64,0.55,0.49,0.034,praid
2025-11-21,0.38,0.0,0.19,0.02,praid
2025-11-22,0.0,0.01,0.32,0.007,praid
2025-11-23,1.67,1.17,0.45,0.035,praid
2025-11-24,0.0,0.86,0.73,0.01,praid
2025-11-25,1.31,0.76,0.54,0.024,praid
2025-11-26,0.0,0.0,0.79,0.025,praid
2025-11-27,2.65,0.45,0.0,0.01,praid
2025-11-28,0.39,0.35,0.85,0.006,praid
2025-11-29,0.46,0.0,0.41,0.012,praid
2025-11-30,1.62,0.0,0.0,0.025,praid
2025-12-01,0.0,0.41,0.49,0.015,praid
2025-12-02,0.68,0.42,0.0,0.043,praid
2025-12-03,0.55,0.17,0.32,0.004,praid
2025-12-04,1.36,0.28,0.0,0.036,praid
2025-12-05,0.0,0.28,0.12,0.022,praid
2025-12-06,2.12,0.62,0.66,0.029,praid
2025-12-07,0.48,0.0,0.31,0.033,praid
2025-12-08,3.06,0.27,0.47,0.021,praid
2025-12-09,0.11,0.74,0.44,0.008,praid
2025-12-10,1.38,0.17,0.12,0.014,praid
2025-12-11,1.29,0.32,0.26,0.017,praid
2025-12-12,1.5,0.18,0.37,0.019,praid
2025-12-13,1.02,0.51,0.43,0.035,praid
2025-12-14,0.88,0.49,0.04,0.025,praid
2025-12-15,1.33,0.67,0.86,0.011,praid
2025-12-16,2.05,0.48,0.64,0.017,praid
2025-12-17,0.0,0.82,0.0,0.027,praid
2025-12-18,0.19,0.91,0.6,0.02,praid
2025-12-19,2.23,0.5,0.26,0.02,praid
2025-12-20,0.32,0.41,0.39,0.013,praid
2025-12-21,0.73,0.55,0.3,0.034,praid
2025-12-22,0.66,0.19,0.47,0.029,praid
2025-12-23,1.47,0.0,0.18,0.016,praid
2025-12-24,1.61,0.23,0.0,0.017,praid
2025-12-25,0.21,0.45,0.57,0.014,praid
2025-12-26,0.0,0.0,0.05,0.036,praid
2025-12-27,0.28,1.11,0.05,0.012,praid
2025-12-28,0.99,0.37,0.09,0.021,praid
2025-12-29,0.21,0.03,0.35,0.015,praid
2025-12-30,0.0,1.15,0.56,0.028,praid
2025-12-31,0.0,0.69,0.18,0.022,praid
2026-01-01,0.1,0.4,0.86,0.02,praid
2026-01-02,0.4,0.77,0.0,0.019,praid
2026-01-03,0.97,0.32,0.2,0.012,praid
2026-01-04,1.8,0.54,0.52,0.017,praid
2026-01-05,0.73,0.61,0.44,0.022,praid
2026-01-06,0.1,0.13,0.0,0.008,praid
2026-01-07,0.16,0.53,0.03,0.032,praid
2026-01-08,0.75,0.03,0.46,0.028,praid
2026-01-09,2.34,0.19,0.22,0.034,praid
2026-01-10,0.09,0.0,0.43,0.021,praid
2026-01-11,0.0,0.98,0.72,0.022,praid
2026-01-12,0.24,0.15,0.0,0.026,praid
2026-01-13,0.0,0.0,0.22,0.015,praid
2026-01-14,1.89,0.3,0.18,0.0,praid
2026-01-15,0.0,0.45,0.18,0.006,praid
2026-01-16,0.72,0.04,0.5,0.02,praid
2026-01-17,2.15,0.59,0.63,0.034,praid
2026-01-18,0.93,0.78,0.1,0.039,praid
2026-01-19,0.0,0.12,0.4,0.016,praid
2026-01-20,0.0,0.67,0.67,0.04,praid
2026-01-21,2.38,0.0,0.0,0.024,praid
2026-01-22,1.19,0.36,0.64,0.023,praid
2026-01-23,0.7,0.39,0.27,0.029,praid
2026-01-24,2.4,1.2,0.23,0.024,praid
2026-01-25,2.43,0.45,0.26,0.013,praid
2026-01-26,1.9,0.31,0.49,0.031,praid
2026-01-27,1.01,0.0,0.0,0.035,praid
2026-01-28,0.92,0.02,0.25,0.012,praid
2026-01-29,0.21,0.21,0.45,0.019,praid
2026-01-30,0.11,0.74,0.09,0.019,praid
2026-01-31,0.0,0.49,0.35,0.015,praid
2026-02-01,0.0,1.5,0.53,0.029,praid
2026-02-02,0.0,0.37,0.44,0.021,praid
2026-02-03,1.59,0.0,0.3,0.045,praid
2026-02-04,2.76,0.82,0.34,0.009,praid
2026-02-05,0.85,0.86,0.0,0.007,praid
2026-02-06,0.0,0.43,0.22,0.018,praid
2026-02-07,0.95,0.33,0.16,0.004,praid
2026-02-08,0.0,0.49,0.64,0.026,praid
2026-02-09,0.29,0.0,0.31,0.022,praid
2026-02-10,2.05,0.35,0.48,0.037,praid
2026-02-11,0.61,0.06,0.12,0.016,praid
