date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.1,153.0,-7.97,praid
2025-11-17,0.1,153.0,-8.04,praid
2025-11-18,6.8,234.0,-7.77,praid
2025-11-19,6.2,267.0,-8.16,praid
2025-11-20,4.3,271.0,-8.02,praid
2025-11-21,0.0,239.0,-8.02,praid
2025-11-22,2.3,235.0,-8.15,praid
2025-11-23,31.8,432.0,-8.36,praid
2025-11-24,0.6,375.0,-8.25,praid
2025-11-25,0.0,328.0,-8.04,praid
2025-11-26,0.3,293.0,-8.03,praid
2025-11-27,6.5,304.0,-8.14,praid
2025-11-28,1.7,283.0,-8.07,praid
2025-11-29,8.4,306.0,-8.03,praid
2025-11-30,12.3,347.0,-8.12,praid
2025-12-01,4.7,338.0,-8.18,praid
2025-12-02,0.0,304.0,-8.1,praid
2025-12-03,0.0,274.0,-8.08,praid
2025-12-04,0.0,250.0,-8.01,praid
2025-12-05,0.0,231.0,-7.87,praid
2025-12-06,0.0,216.0,-7.97,praid
2025-12-07,0.1,204.0,-8.03,praid
2025-12-08,0.0,185.0,-8.14,praid
2025-12-09,0.0,179.0,-7.85,praid
2025-12-10,0.0,173.0,-8.0,praid
2025-12-11,0.0,169.0,-8.14,praid
2025-12-12,0.7,168.0,-8.1,praid
2025-12-13,0.7,168.0,-7.88,praid
2025-12-14,0.1,163.0,-7.95,praid
2025-12-15,0.2,158.0,-8.13,praid
2025-12-16,0.0,155.0,-7.88,praid
2025-12-17,0.0,154.0,-7.73,praid
2025-12-18,0.0,154.0,-7.83,praid
2025-12-19,0.0,153.0,-8.19,praid
2025-12-20,0.0,152.0,-7.97,praid
2025-12-21,0.0,152.0,-8.05,praid
2025-12-22,0.0,152.0,-7.99,praid
2025-12-23,0.0,151.0,-7.92,praid
2025-12-24,0.7,155.0,-7.9,praid
2025-12-25,0.2,155.0,-7.93,praid
2025-12-26,0.0,154.0,-8.05,praid
2025-12-27,0.0,153.0,-7.87,praid
2025-12-28,3.9,175.0,-7.85,praid
2025-12-29,0.3,172.0,-7.87,praid
2025-12-30,3.6,189.0,-7.95,praid
2025-12-31,2.0,193.0,-7.88,praid
2026-01-01,0.8,190.0,-7.91,praid
2026-01-02,4.6,209.0,-8.22,praid
2026-01-03,8.7,248.0,-8.15,praid
2026-01-04,3.9,253.0,-7.9,praid
2026-01-05,3.5,254.0,-8.01,praid
2026-01-06,2.5,249.0,-8.0,praid
2026-01-07,3.0,249.0,-7.86,praid
2026-01-08,11.9,299.0,-8.06,praid
2026-01-09,2.3,285.0,-8.0,praid
2026-01-10,1.2,267.0,-8.09,praid
2026-01-11,0.7,250.0,-8.28,praid
2026-01-12,3.9,253.0,-8.21,praid
2026-01-13,1.9,245.0,-7.77,praid
2026-01-14,0.1,227.0,-8.1,praid
2026-01-15,1.7,223.0,-7.95,praid
2026-01-16,0.0,209.0,-7.85,praid
2026-01-17,0.0,197.0,-7.84,praid
2026-01-18,0.0,186.0,-7.85,praid
2026-01-19,0.0,178.0,-7.99,praid
2026-01-20,0.0,172.0,-7.95,praid
2026-01-21,0.0,168.0,-7.92,praid
2026-01-22,1.6,173.0,-7.76,praid
2026-01-23,2.1,177.0,-7.96,praid
2026-01-24,0.2,173.0,-7.85,praid
2026-01-25,0.0,168.0,-7.99,praid
2026-01-26,7.7,209.0,-8.01,praid
2026-01-27,1.2,204.0,-8.17,praid
2026-01-28,0.2,195.0,-7.93,praid
2026-01-29,0.1,187.0,-7.89,praid
2026-01-30,0.5,183.0,-7.95,praid
2026-01-31,2.5,191.0,-7.84,praid
2026-02-01,0.1,184.0,-8.04,praid
