date,co_mg_m3,no2_mg_m3,pm10_mg_m3,ch4_pct_vol,site_id
2025-11-16,9.05,3.06,2.47,0.009,slanic
2025-11-17,8.11,2.31,1.88,0.032,slanic
2025-11-18,8.71,2.34,2.39,0.006,slanic
2025-11-19,9.8,2.65,2.32,0.016,slanic
2025-11-20,7.15,2.77,1.74,0.021,slanic
2025-11-21,7.48,2.7,1.79,0.029,slanic
2025-11-22,8.2,2.9,2.27,0.03,slanic
2025-11-23,8.73,2.62,2.23,0.009,slanic
2025-11-24,6.75,1.7,2.28,0.022,slanic
2025-11-25,8.48,2.55,2.13,0.005,slanic
2025-11-26,9.87,3.15,1.79,0.027,slanic
2025-11-27,8.33,2.58,1.72,0.014,slanic
2025-11-28,7.54,2.29,1.98,0.038,slanic
2025-11-29,8.21,2.61,1.62,0.019,slanic
2025-11-30,8.18,2.37,2.21,0.0,slanic
2025-12-01,7.6,1.67,2.0,0.021,slanic
2025-12-02,9.42,1.86,1.83,0.017,slanic
2025-12-03,9.19,2.58,1.89,0.01,slanic
2025-12-04,8.11,2.43,1.46,0.011,slanic
2025-12-05,8.71,2.79,2.28,0.034,slanic
2025-12-06,7.77,2.37,2.12,0.026,slanic
2025-12-07,10.41,2.15,2.43,0.03,slanic
2025-12-08,10.23,2.32,2.13,0.024,slanic
2025-12-09,7.47,2.2,2.77,0.008,slanic
2025-12-10,7.73,2.72,3.02,0.017,slanic
2025-12-11,7.08,3.23,1.93,0.008,slanic
2025-12-12,6.94,2.2,1.77,0.022,slanic
2025-12-13,8.07,2.24,2.29,0.02,slanic
2025-12-14,8.85,2.9,2.49,0.021,slanic
2025-12-15,6.27,2.78,2.08,0.018,slanic
2025-12-16,8.1,2.85,2.44,0.022,slanic
2025-12-17,8.37,2.04,2.49,0.02,slanic
2025-12-18,6.69,2.4,2.35,0.016,slanic
2025-12-19,9.6,2.58,1.58,0.0,slanic
2025-12-20,8.39,2.86,2.5,0.027,slanic
2025-12-21,7.07,2.52,2.1,0.014,slanic
2025-12-22,8.94,2.52,1.98,0.0,slanic
2025-12-23,8.93,3.18,1.66,0.018,slanic
2025-12-24,6.98,2.55,2.31,0.011,slanic
2025-12-25,7.39,2.29,2.48,0.009,slanic
2025-12-26,7.32,2.27,1.97,0.022,slanic
2025-12-27,9.22,3.22,2.12,0.01,slanic
2025-12-28,8.1,2.52,1.5,0.016,slanic
2025-12-29,7.33,2.19,1.82,0.018,slanic
2025-12-30,6.5,2.24,2.28,0.023,slanic
2025-12-31,8.31,2.25,1.82,0.026,slanic
2026-01-01,9.62,2.47,2.06,0.024,slanic
2026-01-02,7.52,2.52,1.66,0.009,slanic
2026-01-03,7.61,1.62,2.04,0.025,slanic
2026-01-04,10.12,1.41,1.87,0.01,slanic
2026-01-05,7.15,2.26,2.07,0.019,slanic
2026-01-06,9.78,2.16,1.8,0.025,slanic
2026-01-07,8.52,2.62,2.14,0.021,slanic
2026-01-08,8.32,2.69,1.76,0.013,slanic
2026-01-09,9.73,2.47,2.04,0.036,slanic
2026-01-10,8.13,2.63,2.17,0.036,slanic
2026-01-11,8.05,2.28,2.21,0.025,slanic
2026-01-12,6.58,2.83,1.48,0.018,slanic
2026-01-13,7.83,2.69,1.86,0.015,slanic
2026-01-14,8.17,2.71,1.82,0.031,slanic
2026-01-15,7.74,3.09,1.72,0.022,slanic
2026-01-16,10.75,2.12,2.24,0.025,slanic
2026-01-17,9.61,2.96,1.99,0.012,slanic
2026-01-18,9.54,2.33,2.45,0.031,slanic
