date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.0,150.0,-7.92,slanic
2025-11-17,0.0,150.0,-8.02,slanic
2025-11-18,13.1,308.0,-8.01,slanic
2025-11-19,14.9,403.0,-8.12,slanic
2025-11-20,1.1,340.0,-8.1,slanic
2025-11-21,0.1,291.0,-8.17,slanic
2025-11-22,4.4,289.0,-8.12,slanic
2025-11-23,7.2,307.0,-8.13,slanic
2025-11-24,0.0,273.0,-8.05,slanic
2025-11-25,0.0,247.0,-7.94,slanic
2025-11-26,0.0,227.0,-7.83,slanic
2025-11-27,23.7,354.0,-8.23,slanic
2025-11-28,10.2,374.0,-7.98,slanic
2025-11-29,32.2,517.0,-8.37,slanic
2025-11-30,3.6,467.0,-8.24,slanic
2025-12-01,0.0,410.0,-8.15,slanic
2025-12-02,0.0,363.0,-8.06,slanic
2025-12-03,1.4,329.0,-7.97,slanic
2025-12-04,1.1,298.0,-8.13,slanic
2025-12-05,3.5,291.0,-7.95,slanic
2025-12-06,0.9,271.0,-8.02,slanic
2025-12-07,0.2,249.0,-7.86,slanic
2025-12-08,0.1,229.0,-7.88,slanic
2025-12-09,0.0,215.0,-7.94,slanic
2025-12-10,0.0,203.0,-8.05,slanic
2025-12-11,0.0,194.0,-8.06,slanic
2025-12-12,0.0,179.0,-7.89,slanic
2025-12-13,0.0,171.0,-7.83,slanic
2025-12-14,0.0,158.0,-7.83,slanic
2025-12-15,0.0,155.0,-7.98,slanic
2025-12-16,0.0,154.0,-7.74,slanic
2025-12-17,0.0,154.0,-7.93,slanic
2025-12-18,0.0,153.0,-7.8,slanic
2025-12-19,0.0,152.0,-8.04,slanic
2025-12-20,0.0,150.0,-7.77,slanic
2025-12-21,0.0,150.0,-7.92,slanic
2025-12-22,0.0,150.0,-7.93,slanic
2025-12-23,0.4,152.0,-8.02,slanic
2025-12-24,5.3,182.0,-7.96,slanic
2025-12-25,0.7,180.0,-7.83,slanic
2025-12-26,0.0,175.0,-7.99,slanic
2025-12-27,0.0,170.0,-8.02,slanic
2025-12-28,2.1,179.0,-8.05,slanic
2025-12-29,0.1,174.0,-7.97,slanic
2025-12-30,0.0,170.0,-8.17,slanic
2025-12-31,0.0,166.0,-7.84,slanic
2026-01-01,0.0,163.0,-7.95,slanic
2026-01-02,1.2,168.0,-8.13,slanic
2026-01-03,3.6,185.0,-8.01,slanic
2026-01-04,10.9,241.0,-8.04,slanic
2026-01-05,17.7,326.0,-8.14,slanic
2026-01-06,3.3,313.0,-8.09,slanic
2026-01-07,3.3,302.0,-8.25,slanic
2026-01-08,10.9,335.0,-8.1,slanic
