datetime,magnitude,depth_km,site_id
2025-11-27 07:09:55.300,3.0,-111.1,slanic
2025-12-23 21:43:12.280,3.7,-66.0,slanic
2026-01-12 03:39:42.200,3.2,-133.0,slanic
2026-01-20 05:23:43.300,2.9,-122.8,slanic
2026-01-29 01:32:37.500,2.9,-121.1,slanic
2026-02-10 19:37:31.700,3.0,-122.1,slanic
2026-02-25 22:31:54.200,2.7,-124.6,slanic
2026-03-05 04:01:55.200,3.3,-120.1,slanic
2026-03-05 16:18:20.500,2.8,-135.7,slanic
2026-04-02 01:46:47.600,2.7,-105.4,slanic
2026-04-08 02:28:01.820,3.8,-147.7,slanic
2026-04-16 19:42:58.400,2.8,-129.6,slanic
2026-04-17 13:37:29.700,2.6,-114.7,slanic
2026-04-27 07:33:57.300,2.9,-129.4,slanic
2026-05-03 09:14:17.100,3.1,-134.1,slanic
2026-05-04 15:30:51.300,3.3,-133.7,slanic
2026-05-09 22:50:36.870,3.6,-130.0,slanic
