date,precipitation_mm,infiltration_l_per_hour,water_table_m,site_id
2025-11-16,0.0,150.0,-7.95,targu_ocna
2025-11-17,0.0,150.0,-7.82,targu_ocna
2025-11-18,2.6,181.0,-8.02,targu_ocna
2025-11-19,9.8,268.0,-7.95,targu_ocna
2025-11-20,0.6,239.0,-8.07,targu_ocna
2025-11-21,0.6,221.0,-7.89,targu_ocna
2025-11-22,0.9,210.0,-8.32,targu_ocna
2025-11-23,1.0,203.0,-7.83,targu_ocna
2025-11-24,0.0,192.0,-8.12,targu_ocna
2025-11-25,0.0,183.0,-7.97,targu_ocna
2025-11-26,0.0,176.0,-8.27,targu_ocna
2025-11-27,9.8,230.0,-8.06,targu_ocna
2025-11-28,7.5,258.0,-7.88,targu_ocna
2025-11-29,7.7,282.0,-7.99,targu_ocna
2025-11-30,30.8,433.0,-8.3,targu_ocna
2025-12-01,1.2,389.0,-8.1,targu_ocna
2025-12-02,0.0,345.0,-8.05,targu_ocna
2025-12-03,0.1,310.0,-8.05,targu_ocna
2025-12-04,0.1,279.0,-8.21,targu_ocna
2025-12-05,5.3,285.0,-8.16,targu_ocna
2025-12-06,1.9,272.0,-8.04,targu_ocna
2025-12-07,0.5,252.0,-8.02,targu_ocna
2025-12-08,1.5,242.0,-7.87,targu_ocna
2025-12-09,0.0,225.0,-7.82,targu_ocna
2025-12-10,0.0,212.0,-8.21,targu_ocna
2025-12-11,0.0,200.0,-8.02,targu_ocna
2025-12-12,0.8,193.0,-7.84,targu_ocna
2025-12-13,0.0,183.0,-7.95,targu_ocna
2025-12-14,0.0,175.0,-7.93,targu_ocna
2025-12-15,0.0,162.0,-7.98,targu_ocna
2025-12-16,0.0,159.0,-8.02,targu_ocna
2025-12-17,0.0,158.0,-7.84,targu_ocna
2025-12-18,0.0,156.0,-7.99,targu_ocna
2025-12-19,0.0,155.0,-7.92,targu_ocna
2025-12-20,0.0,153.0,-8.0,targu_ocna
2025-12-21,0.0,152.0,-7.88,targu_ocna
2025-12-22,0.0,151.0,-8.11,targu_ocna
2025-12-23,0.0,151.0,-8.01,targu_ocna
2025-12-24,8.3,198.0,-7.93,targu_ocna
2025-12-25,0.9,194.0,-7.88,targu_ocna
2025-12-26,0.0,186.0,-8.03,targu_ocna
2025-12-27,0.0,180.0,-8.06,targu_ocna
2025-12-28,1.2,181.0,-8.02,targu_ocna
2025-12-29,0.1,176.0,-7.83,targu_ocna
2025-12-30,0.1,172.0,-8.03,targu_ocna
2025-12-31,0.0,168.0,-7.83,targu_ocna
2026-01-01,0.0,165.0,-7.99,targu_ocna
2026-01-02,0.0,162.0,-7.9,targu_ocna
2026-01-03,2.2,172.0,-7.94,targu_ocna
2026-01-04,1.3,176.0,-8.02,targu_ocna
2026-01-05,8.4,219.0,-8.21,targu_ocna
2026-01-06,0.0,207.0,-7.95,targu_ocna
2026-01-07,1.6,206.0,-7.68,targu_ocna
2026-01-08,6.6,231.0,-8.07,targu_ocna
2026-01-09,0.0,216.0,-7.89,targu_ocna
2026-01-10,0.2,205.0,-7.85,targu_ocna
2026-01-11,0.0,195.0,-7.94,targu_ocna
2026-01-12,0.0,187.0,-7.97,targu_ocna
2026-01-13,0.3,182.0,-8.03,targu_ocna
2026-01-14,0.2,177.0,-7.82,targu_ocna
2026-01-15,0.5,175.0,-7.97,targu_ocna
2026-01-16,0.3,172.0,-7.96,targu_ocna
2026-01-17,0.0,168.0,-7.76,targu_ocna
2026-01-18,0.2,165.0,-8.01,targu_ocna
2026-01-19,0.0,162.0,-8.0,targu_ocna
2026-01-20,0.0,158.0,-8.04,targu_ocna
2026-01-21,0.0,156.0,-7.89,targu_ocna
2026-01-22,1.6,164.0,-7.86,targu_ocna
2026-01-23,2.9,176.0,-7.97,targu_ocna
2026-01-24,0.0,171.0,-7.81,targu_ocna
2026-01-25,0.0,167.0,-7.91,targu_ocna
2026-01-26,2.6,179.0,-7.89,targu_ocna
2026-01-27,3.5,194.0,-7.89,targu_ocna
2026-01-28,0.0,186.0,-8.05,targu_ocna
2026-01-29,0.0,179.0,-8.13,targu_ocna
2026-01-30,0.0,174.0,-7.93,targu_ocna
2026-01-31,0.6,173.0,-7.94,targu_ocna
2026-02-01,0.1,169.0,-8.09,targu_ocna
2026-02-02,0.2,167.0,-8.05,targu_ocna
2026-02-03,0.0,164.0,-7.89,targu_ocna
2026-02-04,0.0,161.0,-7.89,targu_ocna
